2022-02-09 05:09:52.238 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 687, tbs_ : 338, time: 40764142, acked_bytes: 1350
2022-02-09 05:09:52.245 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1359, time: 40764143, acked_bytes: 1350
2022-02-09 05:09:52.256 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1424, time: 40764144, acked_bytes: 1350
2022-02-09 05:09:52.269 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1424, time: 40764145, acked_bytes: 1350
2022-02-09 05:09:52.275 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1424, time: 40764146, acked_bytes: 1350
2022-02-09 05:09:52.287 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 548, time: 40764147, acked_bytes: 1350
2022-02-09 05:09:52.298 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1301, time: 40764148, acked_bytes: 1350
2022-02-09 05:09:52.305 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1273, time: 40764149, acked_bytes: 1350
2022-02-09 05:09:52.317 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1559, time: 40764150, acked_bytes: 1350
2022-02-09 05:09:52.328 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1559, time: 40764151, acked_bytes: 1350
2022-02-09 05:09:52.340 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 521, tbs_ : 1292, time: 40764152, acked_bytes: 1350
2022-02-09 05:09:52.347 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1763, time: 40764153, acked_bytes: 1350
2022-02-09 05:09:52.359 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1784, time: 40764154, acked_bytes: 1350
2022-02-09 05:09:52.370 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1675, time: 40764155, acked_bytes: 1350
2022-02-09 05:09:52.376 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1675, time: 40764156, acked_bytes: 1350
2022-02-09 05:09:52.389 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1675, time: 40764157, acked_bytes: 1350
2022-02-09 05:09:52.401 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1506, time: 40764158, acked_bytes: 1350
2022-02-09 05:09:52.406 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 11, time: 40764159, acked_bytes: 1350
2022-02-09 05:09:52.418 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 26, time: 40764160, acked_bytes: 1350
2022-02-09 05:09:52.425 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 26, time: 40764161, acked_bytes: 1350
2022-02-09 05:09:52.437 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 5, time: 40764162, acked_bytes: 1350
2022-02-09 05:09:52.448 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 543, tbs_ : 338, time: 40764163, acked_bytes: 1350
2022-02-09 05:09:52.455 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 338, time: 40764164, acked_bytes: 1350
2022-02-09 05:09:52.466 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 338, time: 40764165, acked_bytes: 1397
2022-02-09 05:09:52.479 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 814, tbs_ : 338, time: 40764166, acked_bytes: 1350
2022-02-09 05:09:52.485 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 135, tbs_ : 338, time: 40764167, acked_bytes: 1350
2022-02-09 05:09:52.496 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1596, time: 40764168, acked_bytes: 1350
2022-02-09 05:09:52.508 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 679, tbs_ : 1675, time: 40764169, acked_bytes: 1350
2022-02-09 05:09:52.515 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1675, time: 40764170, acked_bytes: 1350
2022-02-09 05:09:52.527 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1675, time: 40764171, acked_bytes: 1350
2022-02-09 05:09:52.538 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 1882, time: 40764172, acked_bytes: 1350
2022-02-09 05:09:52.550 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 439, tbs_ : 1859, time: 40764173, acked_bytes: 121
2022-02-09 05:09:52.557 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 281, tbs_ : 1969, time: 40764174, acked_bytes: 1350
2022-02-09 05:09:52.568 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1969, time: 40764175, acked_bytes: 1350
2022-02-09 05:09:52.580 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1969, time: 40764176, acked_bytes: 1350
2022-02-09 05:09:52.586 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1969, time: 40764177, acked_bytes: 1350
2022-02-09 05:09:52.599 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1622, time: 40764178, acked_bytes: 1350
2022-02-09 05:09:52.605 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1777, time: 40764179, acked_bytes: 1350
2022-02-09 05:09:52.616 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1777, time: 40764180, acked_bytes: 1350
2022-02-09 05:09:52.628 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 1777, time: 40764181, acked_bytes: 1350
2022-02-09 05:09:52.641 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1056, time: 40764182, acked_bytes: 1350
2022-02-09 05:09:52.647 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 6, time: 40764183, acked_bytes: 1350
2022-02-09 05:09:52.659 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 810, tbs_ : 6, time: 40764184, acked_bytes: 1350
2022-02-09 05:09:52.667 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 6, time: 40764185, acked_bytes: 1350
2022-02-09 05:09:52.679 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 6, time: 40764186, acked_bytes: 1350
2022-02-09 05:09:52.685 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 6, time: 40764187, acked_bytes: 1350
2022-02-09 05:09:52.698 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 675, tbs_ : 6, time: 40764188, acked_bytes: 1350
2022-02-09 05:09:52.712 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1814, time: 40764189, acked_bytes: 1350
2022-02-09 05:09:52.718 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1814, time: 40764190, acked_bytes: 1350
2022-02-09 05:09:52.730 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1214, time: 40764191, acked_bytes: 1350
2022-02-09 05:09:52.737 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1214, time: 40764192, acked_bytes: 1350
2022-02-09 05:09:52.749 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1214, time: 40764193, acked_bytes: 1350
2022-02-09 05:09:52.755 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 1214, time: 40764194, acked_bytes: 1350
2022-02-09 05:09:52.767 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 1214, time: 40764195, acked_bytes: 1350
2022-02-09 05:09:52.779 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 814, tbs_ : 1214, time: 40764196, acked_bytes: 1350
2022-02-09 05:09:52.787 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 1922, time: 40764197, acked_bytes: 1350
2022-02-09 05:09:52.799 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 74, time: 40764198, acked_bytes: 1350
2022-02-09 05:09:52.805 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 7, time: 40764199, acked_bytes: 1350
2022-02-09 05:09:52.817 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 7, time: 40764200, acked_bytes: 1350
2022-02-09 05:09:52.828 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 408, tbs_ : 7, time: 40764201, acked_bytes: 61
2022-02-09 05:09:52.848 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 6, tbs_ : 439, time: 40764203, acked_bytes: 2700
2022-02-09 05:09:52.861 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 439, time: 40764204, acked_bytes: 1343
2022-02-09 05:09:52.866 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 134, tbs_ : 439, time: 40764205, acked_bytes: 1350
2022-02-09 05:09:52.878 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 814, tbs_ : 439, time: 40764206, acked_bytes: 1350
2022-02-09 05:09:52.885 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 270, tbs_ : 439, time: 40764207, acked_bytes: 1350
2022-02-09 05:09:52.897 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 405, tbs_ : 439, time: 40764208, acked_bytes: 1342
2022-02-09 05:09:52.908 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 809, tbs_ : 2174, time: 40764209, acked_bytes: 1350
2022-02-09 05:09:52.920 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 544, tbs_ : 2193, time: 40764210, acked_bytes: 953
2022-02-09 05:09:52.926 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 107, tbs_ : 477, time: 40764211, acked_bytes: 2696
2022-02-09 05:09:52.939 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 809, tbs_ : 477, time: 40764212, acked_bytes: 1350
2022-02-09 05:09:52.950 12966-13084/com.example.overlink I/OverlinkSenderBytes: ack_rate_ : 540, tbs_ : 2101, time: 40764213, acked_bytes: 1350
