time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640005600099,179,135,44,2.893518518518518,11019
1640005600102,161,115,46,3.3967391304347823,16771
1640005600104,145,105,40,3.7202380952380953,10043
1640005600105,157,109,48,3.583715596330275,15882
1640005600105,160,116,44,3.3674568965517238,18040
1640005600106,163,123,40,3.1758130081300813,11391
1640005600107,144,102,42,3.8296568627450984,8415
1640005600108,156,114,42,3.426535087719298,10307
1640005600109,173,131,42,2.9818702290076335,9182
1640005600109,192,149,43,2.6216442953020134,9357
1640005600110,163,119,44,3.2825630252100844,8375
1640005600111,184,140,44,2.790178571428571,8830
1640005600111,187,142,45,2.750880281690141,12336
1640005600112,167,121,46,3.228305785123967,7654
1640005600112,187,139,48,2.810251798561151,12331
1640005600113,154,111,43,3.519144144144144,10033
1640005600113,148,106,42,3.6851415094339623,10207
1640005600114,149,104,45,3.7560096153846154,6407
1640005600114,153,108,45,3.6168981481481484,12094
1640005600115,175,128,47,3.0517578125,9058
1640005600115,169,121,48,3.228305785123967,10905
1640005600116,160,116,44,3.3674568965517238,15228
1640005600116,170,120,50,3.2552083333333335,16121
1640005600117,160,116,44,3.3674568965517238,8856
1640005600117,160,114,46,3.426535087719298,11247
1640005600118,181,134,47,2.9151119402985075,11569
1640005600118,168,120,48,3.2552083333333335,13784
1640005600119,173,127,46,3.0757874015748032,14679
1640005600119,167,122,45,3.201844262295082,11890
1640005600120,173,126,47,3.1001984126984126,7965
1640005600120,168,124,44,3.150201612903226,7792
1640005600121,172,129,43,3.0281007751937983,8685
1640005600121,164,123,41,3.1758130081300813,13056
1640005600122,162,118,44,3.3103813559322037,11962
1640005600122,175,131,44,2.9818702290076335,8518
1640005600122,158,119,39,3.2825630252100844,11216
1640005600123,169,124,45,3.150201612903226,8782
1640005600123,159,111,48,3.519144144144144,11641
1640005600124,169,120,49,3.2552083333333335,9336
1640005600124,156,112,44,3.4877232142857144,9438
1640005600125,176,128,48,3.0517578125,14149
1640005600125,175,133,42,2.9370300751879697,8375
1640005600126,158,114,44,3.426535087719298,10246
1640005600126,169,121,48,3.228305785123967,7182
1640005600127,159,117,42,3.3386752136752134,7990
1640005600127,172,129,43,3.0281007751937983,10205
1640005600127,178,135,43,2.893518518518518,12260
1640005600128,170,124,46,3.150201612903226,8987
1640005600128,160,111,49,3.519144144144144,4335
1640005600129,172,123,49,3.1758130081300813,8799
1640005600129,173,129,44,3.0281007751937983,5489
1640005600130,148,104,44,3.7560096153846154,8237
1640005600130,150,103,47,3.79247572815534,14177
1640005600131,178,131,47,2.9818702290076335,13104
1640005600131,168,121,47,3.228305785123967,8820
1640005600132,154,110,44,3.5511363636363638,10754
1640005600132,155,109,46,3.583715596330275,10817
1640005600133,157,112,45,3.4877232142857144,10593
1640005600133,170,121,49,3.228305785123967,12639
1640005600134,153,108,45,3.6168981481481484,8794
1640005600134,200,155,45,2.5201612903225805,17893
1640005600134,188,143,45,2.7316433566433567,5278
1640005600135,163,125,38,3.125,5240
1640005600135,160,114,46,3.426535087719298,9858
1640005600136,176,133,43,2.9370300751879697,7760
1640005600136,173,127,46,3.0757874015748032,5181
1640005600137,164,120,44,3.2552083333333335,7845
1640005600137,166,122,44,3.201844262295082,8966
1640005600138,150,106,44,3.6851415094339623,11821
1640005600138,169,122,47,3.201844262295082,8810
1640005600139,166,121,45,3.228305785123967,11926
1640005600139,164,118,46,3.3103813559322037,11507
1640005600140,169,122,47,3.201844262295082,8883
1640005600140,163,116,47,3.3674568965517238,9473
1640005600141,150,107,43,3.6507009345794392,11645
1640005600141,173,124,49,3.150201612903226,10547
1640005600142,164,121,43,3.228305785123967,7029
1640005600143,171,123,48,3.1758130081300813,7440
1640005600143,201,152,49,2.569901315789474,9369
1640005600144,166,121,45,3.228305785123967,6284
1640005600144,162,115,47,3.3967391304347823,12130
1640005600145,153,106,47,3.6851415094339623,7672
1640005600145,148,103,45,3.79247572815534,11398
1640005600146,160,115,45,3.3967391304347823,13042
1640005600147,149,102,47,3.8296568627450984,9012
1640005600147,176,130,46,3.004807692307692,12114
1640005600148,180,137,43,2.8512773722627736,9370
1640005600148,149,107,42,3.6507009345794392,8659
1640005600149,155,114,41,3.426535087719298,4234
1640005600149,156,113,43,3.456858407079646,7605
1640005600150,158,113,45,3.456858407079646,9497
1640005600150,165,122,43,3.201844262295082,12378
1640005600151,191,145,46,2.6939655172413794,19598
1640005600151,158,115,43,3.3967391304347823,12580
1640005600152,167,120,47,3.2552083333333335,11202
1640005600152,161,119,42,3.2825630252100844,16963
1640005600153,175,129,46,3.0281007751937983,16103
1640005600153,168,125,43,3.125,11782
1640005600154,152,110,42,3.5511363636363638,5491
