time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640005656947,148,108,40,3.6168981481481484,5774
1640005656950,160,116,44,3.3674568965517238,10219
1640005656951,164,117,47,3.3386752136752134,11135
1640005656952,166,117,49,3.3386752136752134,12319
1640005656952,159,111,48,3.519144144144144,11573
1640005656953,165,122,43,3.201844262295082,8776
1640005656954,158,112,46,3.4877232142857144,8756
1640005656954,152,109,43,3.583715596330275,15058
1640005656955,153,109,44,3.583715596330275,14293
1640005656956,148,102,46,3.8296568627450984,8950
1640005656956,165,119,46,3.2825630252100844,16585
1640005656957,160,117,43,3.3386752136752134,17689
1640005656958,154,111,43,3.519144144144144,10559
1640005656958,163,117,46,3.3386752136752134,7304
1640005656959,164,123,41,3.1758130081300813,9424
1640005656959,151,109,42,3.583715596330275,9881
1640005656960,153,108,45,3.6168981481481484,10169
1640005656960,170,122,48,3.201844262295082,11518
1640005656961,166,120,46,3.2552083333333335,11513
1640005656962,159,114,45,3.426535087719298,10206
1640005656962,166,118,48,3.3103813559322037,15664
1640005656963,155,109,46,3.583715596330275,14166
1640005656963,185,139,46,2.810251798561151,10546
1640005656964,177,129,48,3.0281007751937983,8825
1640005656964,158,108,50,3.6168981481481484,6703
1640005656965,164,118,46,3.3103813559322037,7225
1640005656965,161,117,44,3.3386752136752134,13444
1640005656966,170,128,42,3.0517578125,11211
1640005656966,155,111,44,3.519144144144144,10859
1640005656967,156,112,44,3.4877232142857144,6851
1640005656967,163,117,46,3.3386752136752134,8919
1640005656968,169,121,48,3.228305785123967,9935
1640005656969,160,116,44,3.3674568965517238,10515
1640005656969,159,111,48,3.519144144144144,10895
1640005656970,163,117,46,3.3386752136752134,13378
1640005656970,170,124,46,3.150201612903226,11009
1640005656971,154,110,44,3.5511363636363638,7039
1640005656971,172,128,44,3.0517578125,12990
1640005656972,161,115,46,3.3967391304347823,3962
1640005656972,172,130,42,3.004807692307692,7868
1640005656973,156,115,41,3.3967391304347823,7528
1640005656973,159,116,43,3.3674568965517238,9673
1640005656974,167,124,43,3.150201612903226,9056
1640005656974,160,121,39,3.228305785123967,9228
1640005656975,158,108,50,3.6168981481481484,9626
1640005656975,152,107,45,3.6507009345794392,11960
1640005656975,182,140,42,2.790178571428571,14263
1640005656976,172,129,43,3.0281007751937983,10001
1640005656976,166,120,46,3.2552083333333335,9452
1640005656977,156,108,48,3.6168981481481484,9457
1640005656977,179,137,42,2.8512773722627736,9064
1640005656978,170,130,40,3.004807692307692,9580
1640005656978,169,124,45,3.150201612903226,8929
1640005656979,160,113,47,3.456858407079646,9042
1640005656979,154,112,42,3.4877232142857144,7654
1640005656980,171,126,45,3.1001984126984126,9543
1640005656980,161,115,46,3.3967391304347823,12672
1640005656981,165,118,47,3.3103813559322037,8542
1640005656981,166,122,44,3.201844262295082,11228
1640005656982,156,109,47,3.583715596330275,10807
1640005656982,170,125,45,3.125,10615
1640005656983,168,124,44,3.150201612903226,8776
1640005656983,151,107,44,3.6507009345794392,5723
1640005656983,169,123,46,3.1758130081300813,9740
1640005656984,180,133,47,2.9370300751879697,9573
1640005656984,161,114,47,3.426535087719298,8683
1640005656985,170,124,46,3.150201612903226,10252
1640005656985,151,109,42,3.583715596330275,7521
1640005656986,175,134,41,2.9151119402985075,8670
1640005656986,159,113,46,3.456858407079646,9984
1640005656987,144,101,43,3.8675742574257423,9169
1640005656987,157,110,47,3.5511363636363638,11672
1640005656988,163,114,49,3.426535087719298,11202
1640005656988,184,139,45,2.810251798561151,11250
1640005656989,164,117,47,3.3386752136752134,9093
1640005656989,188,146,42,2.6755136986301373,9934
1640005656989,161,114,47,3.426535087719298,9274
1640005656990,182,136,46,2.8722426470588234,9379
1640005656990,166,122,44,3.201844262295082,7407
1640005656991,167,125,42,3.125,8958
1640005656991,165,123,42,3.1758130081300813,6728
1640005656992,171,126,45,3.1001984126984126,5908
1640005656992,167,123,44,3.1758130081300813,6125
1640005656993,166,125,41,3.125,5854
1640005656993,171,128,43,3.0517578125,9202
1640005656994,170,124,46,3.150201612903226,1697
1640005656994,186,139,47,2.810251798561151,5318
1640005656995,162,115,47,3.3967391304347823,6613
1640005656995,150,108,42,3.6168981481481484,12167
1640005656996,152,108,44,3.6168981481481484,6633
1640005656996,160,113,47,3.456858407079646,12176
1640005656997,182,138,44,2.8306159420289854,11659
1640005656997,165,121,44,3.228305785123967,4817
1640005656998,154,113,41,3.456858407079646,8125
1640005656998,165,122,43,3.201844262295082,10091
1640005656998,151,109,42,3.583715596330275,7302
1640005656999,161,120,41,3.2552083333333335,8789
1640005656999,157,115,42,3.3967391304347823,10361
1640005657000,181,140,41,2.790178571428571,6672
