time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640006866938,1005,956,49,8.172071129707113,4952
1640006866941,638,589,49,13.264006791171477,15882
1640006866943,757,706,51,11.06586402266289,18423
1640006866944,649,599,50,13.042570951585978,12020
1640006866946,743,697,46,11.208751793400287,20510
1640006866947,747,704,43,11.097301136363637,16470
1640006866948,1010,961,49,8.12955254942768,3666
1640006866949,932,885,47,8.82768361581921,9485
1640006866951,885,840,45,9.300595238095239,12491
1640006866952,921,871,50,8.969575200918484,16231
1640006866953,979,936,43,8.346688034188034,3762
1640006866954,1048,997,51,7.836008024072217,16269
1640006866955,983,937,46,8.33778014941302,8882
1640006866956,887,838,49,9.322792362768498,10205
1640006866957,939,892,47,8.758408071748878,16524
1640006866957,1194,1144,50,6.829108391608393,13330
1640006866958,1244,1195,49,6.53765690376569,8339
1640006866959,848,801,47,9.753433208489387,12471
1640006866960,967,920,47,8.491847826086957,9128
1640006866961,744,696,48,11.22485632183908,10468
1640006866962,875,830,45,9.41265060240964,16557
1640006866963,888,841,47,9.289536266349584,12479
1640006866963,946,898,48,8.699888641425389,10339
1640006866964,821,775,46,10.080645161290322,10638
1640006866965,892,843,49,9.26749703440095,8328
1640006866966,876,831,45,9.401323706377859,10561
1640006866967,898,849,49,9.202002355712603,12845
1640006866968,986,942,44,8.293524416135881,14184
1640006866969,912,864,48,9.04224537037037,11972
1640006866970,908,859,49,9.09487776484284,13932
1640006866971,904,854,50,9.148126463700235,10864
1640006866971,960,912,48,8.566337719298245,13079
1640006866972,940,889,51,8.787964004499438,11917
1640006866973,789,738,51,10.586043360433605,9615
1640006866974,911,865,46,9.031791907514451,14906
1640006866975,892,842,50,9.27850356294537,11343
1640006866975,858,808,50,9.668935643564355,14147
1640006866976,1105,1059,46,7.37724268177526,13581
1640006866977,717,670,47,11.66044776119403,10934
1640006866978,1110,1063,47,7.349482596425212,12823
1640006866978,1086,1038,48,7.526493256262042,8250
1640006866979,1070,1021,49,7.651811949069541,9349
1640006866980,983,933,50,8.373526259378348,1872
1640006866981,1057,1007,50,7.758192651439922,12645
1640006866981,1073,1027,46,7.607108081791627,10561
1640006866982,897,846,51,9.234633569739954,10279
1640006866983,780,729,51,10.716735253772292,16320
1640006866984,929,882,47,8.857709750566894,12280
1640006866985,942,895,47,8.72905027932961,16537
1640006866985,946,900,46,8.680555555555555,8827
1640006866986,882,830,52,9.41265060240964,12971
1640006866987,828,779,49,10.028883183568677,13180
1640006866988,1065,1014,51,7.704635108481262,12100
1640006866989,1084,1034,50,7.5556092843326885,8399
1640006866989,1305,1253,52,6.235035913806864,12250
1640006866990,941,891,50,8.768237934904601,10278
1640006866991,1041,990,51,7.891414141414142,12627
1640006866992,1029,979,50,7.980081716036772,8065
1640006866992,943,895,48,8.72905027932961,13186
1640006866993,775,728,47,10.731456043956044,10640
1640006866994,836,788,48,9.914340101522843,12312
1640006866995,723,670,53,11.66044776119403,15275
1640006866995,773,726,47,10.761019283746556,16985
1640006866996,846,796,50,9.81469849246231,20510
1640006866997,747,700,47,11.160714285714286,10814
1640006866998,789,742,47,10.528975741239892,14978
1640006866998,759,709,50,11.019040902679832,16371
1640006866999,935,886,49,8.817720090293454,19036
1640006867000,812,766,46,10.199086161879896,11917
1640006867001,923,876,47,8.91837899543379,14350
1640006867001,949,901,48,8.670921198668147,18437
1640006867002,988,937,51,8.33778014941302,12864
1640006867003,1068,1020,48,7.659313725490196,11431
1640006867004,1105,1054,51,7.412239089184061,8015
1640006867004,933,882,51,8.857709750566894,5744
1640006867005,710,661,49,11.819213313161875,9721
1640006867006,786,740,46,10.557432432432433,20510
1640006867007,882,837,45,9.333930704898448,10610
1640006867007,1015,966,49,8.087474120082817,11965
1640006867008,950,902,48,8.66130820399113,11030
1640006867009,1046,997,49,7.836008024072217,11296
1640006867010,892,843,49,9.26749703440095,8567
1640006867010,853,807,46,9.68091697645601,13393
1640006867011,720,666,54,11.73048048048048,18242
1640006867012,780,730,50,10.702054794520548,20510
1640006867013,733,690,43,11.322463768115943,17489
1640006867013,872,822,50,9.504257907542579,13990
1640006867014,836,787,49,9.926937738246504,13513
1640006867015,823,772,51,10.119818652849741,11673
1640006867016,815,763,52,10.2391874180865,14337
1640006867017,830,782,48,9.990409207161125,12755
1640006867017,726,681,45,11.472099853157122,12495
1640006867018,605,554,51,14.101985559566785,20510
1640006867019,647,599,48,13.042570951585978,20510
1640006867020,869,820,49,9.527439024390244,17045
1640006867020,798,746,52,10.472520107238607,14531
1640006867021,769,722,47,10.820637119113574,15708
1640006867022,630,587,43,13.309199318568997,16970
1640006867023,609,563,46,13.876554174067497,20510
