time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640006551652,275,233,42,6.706008583690987,12852
1640006551661,247,209,38,7.476076555023924,13121
1640006551663,277,238,39,6.565126050420169,11756
1640006551665,287,244,43,6.403688524590164,17543
1640006551666,297,255,42,6.127450980392156,10846
1640006551668,289,248,41,6.300403225806452,10738
1640006551670,296,256,40,6.103515625,12629
1640006551671,294,253,41,6.175889328063241,7908
1640006551672,283,243,40,6.4300411522633745,12134
1640006551674,245,202,43,7.735148514851485,12483
1640006551675,269,229,40,6.823144104803493,4309
1640006551676,259,219,40,7.134703196347032,11315
1640006551677,297,254,43,6.1515748031496065,13186
1640006551678,326,282,44,5.540780141843972,15457
1640006551679,334,291,43,5.369415807560138,7751
1640006551680,317,276,41,5.661231884057971,11394
1640006551681,304,262,42,5.963740458015267,9148
1640006551682,231,192,39,8.138020833333334,9530
1640006551683,258,216,42,7.233796296296297,7840
1640006551684,279,240,39,6.510416666666667,9068
1640006551685,315,269,46,5.808550185873606,8605
1640006551686,495,455,40,3.434065934065934,8862
1640006551687,326,283,43,5.521201413427562,8744
1640006551688,356,314,42,4.976114649681529,8494
1640006551689,294,250,44,6.25,1750
1640006551690,286,244,42,6.403688524590164,11638
1640006551691,278,237,41,6.5928270042194095,13653
1640006551692,274,238,36,6.565126050420169,15116
1640006551693,323,280,43,5.580357142857142,13156
1640006551694,263,222,41,7.038288288288288,7085
1640006551695,287,242,45,6.456611570247934,10764
1640006551696,346,302,44,5.173841059602649,12044
1640006551697,383,337,46,4.636498516320475,8997
1640006551699,414,367,47,4.2574931880108995,4187
1640006551700,373,326,47,4.792944785276074,5480
1640006551701,298,253,45,6.175889328063241,9065
1640006551702,291,252,39,6.200396825396825,7107
1640006551702,257,211,46,7.4052132701421804,7866
1640006551703,311,270,41,5.787037037037036,11278
1640006551705,299,260,39,6.009615384615384,13368
1640006551706,281,240,41,6.510416666666667,10347
1640006551706,268,224,44,6.975446428571429,15855
1640006551708,306,265,41,5.89622641509434,11611
1640006551709,323,284,39,5.501760563380282,6659
1640006551710,250,209,41,7.476076555023924,12569
1640006551710,282,243,39,6.4300411522633745,12142
1640006551711,386,346,40,4.515895953757226,14305
1640006551712,339,296,43,5.278716216216217,6964
1640006551713,473,431,42,3.625290023201856,8567
1640006551714,400,357,43,4.3767507002801125,11784
1640006551715,388,343,45,4.55539358600583,7694
1640006551715,298,258,40,6.0562015503875966,5963
1640006551716,444,402,42,3.8868159203980097,11459
1640006551717,336,296,40,5.278716216216217,6547
1640006551718,316,276,40,5.661231884057971,5712
1640006551719,294,249,45,6.275100401606426,10623
1640006551720,276,235,41,6.6489361702127665,8887
1640006551721,300,261,39,5.986590038314176,14574
1640006551721,299,255,44,6.127450980392156,10581
1640006551722,283,242,41,6.456611570247934,4525
1640006551723,359,320,39,4.8828125,13072
1640006551724,343,304,39,5.139802631578948,7549
1640006551725,282,240,42,6.510416666666667,10739
1640006551725,287,243,44,6.4300411522633745,11099
1640006551726,268,227,41,6.883259911894273,11531
1640006551727,267,229,38,6.823144104803493,19555
1640006551728,314,273,41,5.723443223443223,11839
1640006551729,315,274,41,5.702554744525547,11266
1640006551729,288,244,44,6.403688524590164,8816
1640006551730,303,260,43,6.009615384615384,14505
1640006551731,279,237,42,6.5928270042194095,11598
1640006551732,348,305,43,5.122950819672131,13086
1640006551733,357,317,40,4.929022082018927,10122
1640006551733,304,264,40,5.9185606060606055,5310
1640006551734,330,288,42,5.425347222222222,11680
1640006551735,337,298,39,5.243288590604027,7991
1640006551736,277,239,38,6.537656903765691,9307
1640006551736,276,235,41,6.6489361702127665,13678
1640006551737,328,283,45,5.521201413427562,11090
1640006551738,308,269,39,5.808550185873606,7791
1640006551739,288,246,42,6.3516260162601625,14995
1640006551739,287,246,41,6.3516260162601625,14112
1640006551740,300,254,46,6.1515748031496065,14252
1640006551741,288,243,45,6.4300411522633745,10331
1640006551742,349,303,46,5.156765676567657,11643
1640006551743,273,232,41,6.7349137931034475,9309
1640006551743,259,214,45,7.3014018691588785,14111
1640006551744,226,184,42,8.491847826086957,14985
1640006551745,245,206,39,7.58495145631068,16697
1640006551746,266,222,44,7.038288288288288,16037
1640006551747,249,205,44,7.621951219512195,17110
1640006551747,247,203,44,7.697044334975369,15360
1640006551748,292,248,44,6.300403225806452,15071
1640006551749,268,228,40,6.853070175438596,11285
1640006551750,263,216,47,7.233796296296297,17583
1640006551750,266,221,45,7.070135746606335,14748
1640006551751,272,231,41,6.7640692640692635,16474
1640006551752,247,204,43,7.659313725490197,16314
1640006551753,279,238,41,6.565126050420169,14595
