time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640005394555,128,84,44,0.9300595238095237,10270
1640005394560,128,85,43,0.9191176470588235,10270
1640005394563,129,84,45,0.9300595238095237,10270
1640005394564,129,88,41,0.8877840909090909,10270
1640005394566,134,88,46,0.8877840909090909,10270
1640005394568,132,85,47,0.9191176470588235,10270
1640005394569,145,98,47,0.7971938775510203,10270
1640005394571,151,103,48,0.758495145631068,6407
1640005394572,125,79,46,0.9889240506329113,6046
1640005394572,140,92,48,0.8491847826086957,6046
1640005394573,333,286,47,0.2731643356643357,10270
1640005394574,136,88,48,0.8877840909090909,2247
1640005394575,131,82,49,0.9527439024390244,2247
1640005394575,129,80,49,0.9765625,2247
1640005394576,140,85,55,0.9191176470588235,500
1640005394577,141,93,48,0.8400537634408602,500
1640005394578,146,100,46,0.78125,7432
1640005394578,130,86,44,0.9084302325581396,5665
1640005394579,131,82,49,0.9527439024390244,9928
1640005394580,129,81,48,0.9645061728395061,6199
1640005394581,146,99,47,0.7891414141414141,6199
1640005394581,146,96,50,0.8138020833333334,9448
1640005394582,153,107,46,0.7301401869158879,9448
1640005394583,134,87,47,0.8979885057471265,3047
1640005394584,141,92,49,0.8491847826086957,8482
1640005394585,128,79,49,0.9889240506329113,6494
1640005394585,152,102,50,0.7659313725490197,6494
1640005394586,132,79,53,0.9889240506329113,6872
1640005394587,132,82,50,0.9527439024390244,8159
1640005394588,132,82,50,0.9527439024390244,8778
1640005394589,125,75,50,1.0416666666666667,7371
1640005394589,146,96,50,0.8138020833333334,7371
1640005394590,136,88,48,0.8877840909090909,7371
1640005394591,129,81,48,0.9645061728395061,8423
1640005394591,138,90,48,0.8680555555555556,7541
1640005394592,134,81,53,0.9645061728395061,9062
1640005394593,124,80,44,0.9765625,9557
1640005394593,137,93,44,0.8400537634408602,9557
1640005394594,145,98,47,0.7971938775510203,10270
1640005394595,131,83,48,0.9412650602409638,5731
1640005394595,122,76,46,1.0279605263157896,5200
1640005394596,123,77,46,1.0146103896103895,5200
1640005394597,153,110,43,0.7102272727272727,10270
1640005394597,133,86,47,0.9084302325581396,3486
1640005394598,157,109,48,0.716743119266055,8719
1640005394599,130,82,48,0.9527439024390244,4678
1640005394599,130,82,48,0.9527439024390244,4678
1640005394600,134,84,50,0.9300595238095237,4678
1640005394601,131,81,50,0.9645061728395061,2880
1640005394601,138,90,48,0.8680555555555556,2880
1640005394602,137,89,48,0.877808988764045,2880
1640005394603,140,91,49,0.8585164835164836,8578
1640005394603,143,97,46,0.8054123711340206,8578
1640005394604,123,79,44,0.9889240506329113,6493
1640005394604,123,76,47,1.0279605263157896,6493
1640005394605,151,100,51,0.78125,10270
1640005394606,145,93,52,0.8400537634408602,6465
1640005394606,130,82,48,0.9527439024390244,6465
1640005394607,135,85,50,0.9191176470588235,6465
1640005394608,132,81,51,0.9645061728395061,10270
1640005394608,144,94,50,0.8311170212765957,10270
1640005394609,127,78,49,1.001602564102564,10270
1640005394610,131,81,50,0.9645061728395061,10270
1640005394610,131,82,49,0.9527439024390244,10270
1640005394611,144,96,48,0.8138020833333334,10270
1640005394611,138,92,46,0.8491847826086957,8651
1640005394612,146,97,49,0.8054123711340206,6808
1640005394612,125,82,43,0.9527439024390244,6808
1640005394613,127,82,45,0.9527439024390244,6808
1640005394614,126,77,49,1.0146103896103895,6670
1640005394614,136,91,45,0.8585164835164836,10270
1640005394615,134,89,45,0.877808988764045,10270
1640005394615,129,80,49,0.9765625,10270
1640005394616,124,82,42,0.9527439024390244,10270
1640005394616,134,85,49,0.9191176470588235,9612
1640005394617,158,110,48,0.7102272727272727,8715
1640005394617,141,91,50,0.8585164835164836,5832
1640005394618,132,83,49,0.9412650602409638,5669
1640005394618,129,79,50,0.9889240506329113,5669
1640005394619,132,83,49,0.9412650602409638,5669
1640005394619,156,108,48,0.7233796296296297,450
1640005394619,141,94,47,0.8311170212765957,4853
1640005394620,134,90,44,0.8680555555555556,5095
1640005394620,128,85,43,0.9191176470588235,6712
1640005394621,132,84,48,0.9300595238095237,9008
1640005394622,138,93,45,0.8400537634408602,9008
1640005394622,142,93,49,0.8400537634408602,9008
1640005394623,137,92,45,0.8491847826086957,6645
1640005394623,136,85,51,0.9191176470588235,6645
1640005394624,134,83,51,0.9412650602409638,6645
1640005394624,144,93,51,0.8400537634408602,7945
1640005394625,130,83,47,0.9412650602409638,5568
1640005394625,130,82,48,0.9527439024390244,6121
1640005394626,141,87,54,0.8979885057471265,5972
1640005394626,129,82,47,0.9527439024390244,7045
1640005394627,141,92,49,0.8491847826086957,7163
1640005394627,137,92,45,0.8491847826086957,8173
1640005394628,134,84,50,0.9300595238095237,4980
1640005394628,134,84,50,0.9300595238095237,7515
