time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640007070380,131,81,50,0.9645061728395061,10270
1640007070386,141,91,50,0.8585164835164836,10270
1640007070387,169,118,51,0.6620762711864407,7377
1640007070388,285,239,46,0.32688284518828453,4525
1640007070389,139,91,48,0.8585164835164836,3712
1640007070389,147,93,54,0.8400537634408602,331
1640007070390,155,103,52,0.758495145631068,245351
1640007070391,243,196,47,0.39859693877551017,234044
1640007070392,136,88,48,0.8877840909090909,10270
1640007070392,147,99,48,0.7891414141414141,9927
1640007070393,220,173,47,0.4515895953757226,10270
1640007070393,133,87,46,0.8979885057471265,2086
1640007070394,138,88,50,0.8877840909090909,6048
1640007070395,143,97,46,0.8054123711340206,5557
1640007070395,128,84,44,0.9300595238095237,5988
1640007070396,131,84,47,0.9300595238095237,238546
1640007070397,138,91,47,0.8585164835164836,240529
1640007070397,153,105,48,0.7440476190476191,10270
1640007070398,118,70,48,1.1160714285714284,10270
1640007070399,135,85,50,0.9191176470588235,9696
1640007070399,133,86,47,0.9084302325581396,10234
1640007070400,139,90,49,0.8680555555555556,6700
1640007070401,143,100,43,0.78125,4539
1640007070401,146,97,49,0.8054123711340206,450
1640007070402,203,153,50,0.5106209150326797,8547
1640007070403,145,98,47,0.7971938775510203,199017
1640007070403,131,82,49,0.9527439024390244,205371
1640007070404,130,82,48,0.9527439024390244,10270
1640007070405,233,187,46,0.4177807486631016,530
1640007070405,148,103,45,0.758495145631068,1056
1640007070406,143,98,45,0.7971938775510203,6611
1640007070407,131,81,50,0.9645061728395061,4938
1640007070407,229,181,48,0.43162983425414364,331
1640007070408,178,132,46,0.5918560606060606,694
1640007070409,144,94,50,0.8311170212765957,450
1640007070409,127,80,47,0.9765625,236725
1640007070410,253,205,48,0.38109756097560976,278956
1640007070411,125,81,44,0.9645061728395061,97352
1640007070411,125,80,45,0.9765625,10270
1640007070412,132,88,44,0.8877840909090909,10270
1640007070412,139,91,48,0.8585164835164836,7927
1640007070413,134,91,43,0.8585164835164836,4754
1640007070414,180,132,48,0.5918560606060606,385
1640007070414,146,101,45,0.7735148514851484,2851
1640007070415,127,82,45,0.9527439024390244,218389
1640007070416,126,80,46,0.9765625,261946
1640007070416,138,89,49,0.877808988764045,262332
1640007070417,134,91,43,0.8585164835164836,204515
1640007070418,118,71,47,1.1003521126760565,10270
1640007070419,150,104,46,0.7512019230769231,450
1640007070419,130,84,46,0.9300595238095237,10056
1640007070420,129,80,49,0.9765625,10270
1640007070421,131,84,47,0.9300595238095237,7634
1640007070422,128,77,51,1.0146103896103895,5927
1640007070422,140,93,47,0.8400537634408602,7289
1640007070423,164,107,57,0.7301401869158879,450
1640007070424,139,90,49,0.8680555555555556,230789
1640007070424,131,86,45,0.9084302325581396,262222
1640007070425,134,84,50,0.9300595238095237,10270
1640007070426,137,91,46,0.8585164835164836,9403
1640007070427,122,74,48,1.0557432432432432,8609
1640007070427,140,96,44,0.8138020833333334,7979
1640007070428,130,81,49,0.9645061728395061,10012
1640007070429,132,83,49,0.9412650602409638,7863
1640007070429,138,90,48,0.8680555555555556,5285
1640007070430,129,84,45,0.9300595238095237,7609
1640007070431,272,226,46,0.3456858407079646,7274
1640007070431,130,83,47,0.9412650602409638,214997
1640007070432,124,77,47,1.0146103896103895,266118
1640007070433,121,71,50,1.1003521126760565,10270
1640007070433,135,85,50,0.9191176470588235,10270
1640007070434,129,82,47,0.9527439024390244,9722
1640007070435,125,79,46,0.9889240506329113,9928
1640007070435,137,89,48,0.877808988764045,8191
1640007070436,162,115,47,0.6793478260869565,6670
1640007070437,149,99,50,0.7891414141414141,3374
1640007070437,141,92,49,0.8491847826086957,7069
1640007070438,139,96,43,0.8138020833333334,417
1640007070439,129,83,46,0.9412650602409638,251239
1640007070439,140,90,50,0.8680555555555556,256224
1640007070440,132,85,47,0.9191176470588235,10270
1640007070441,135,88,47,0.8877840909090909,10270
1640007070441,151,106,45,0.7370283018867925,435
1640007070442,138,89,49,0.877808988764045,10270
1640007070443,132,84,48,0.9300595238095237,6845
1640007070443,136,86,50,0.9084302325581396,238173
1640007070444,128,80,48,0.9765625,279562
1640007070444,140,95,45,0.8223684210526315,10270
1640007070445,121,72,49,1.0850694444444444,10270
1640007070446,136,88,48,0.8877840909090909,10270
1640007070446,138,93,45,0.8400537634408602,10270
1640007070447,162,119,43,0.6565126050420168,5901
1640007070448,150,102,48,0.7659313725490197,4523
1640007070448,139,94,45,0.8311170212765957,5959
1640007070449,131,84,47,0.9300595238095237,3876
1640007070450,134,86,48,0.9084302325581396,237743
1640007070450,150,107,43,0.7301401869158879,244947
1640007070451,163,120,43,0.6510416666666667,97170
1640007070452,124,74,50,1.0557432432432432,263267
