time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640005802514,392,339,53,4.609144542772861,8476
1640005802517,254,205,49,7.621951219512195,4735
1640005802518,263,211,52,7.4052132701421804,17852
1640005802518,228,176,52,8.87784090909091,7122
1640005802519,687,636,51,2.456761006289308,16536
1640005802520,289,240,49,6.510416666666667,17917
1640005802520,260,206,54,7.58495145631068,7098
1640005802521,272,222,50,7.038288288288288,5980
1640005802522,335,287,48,5.44425087108014,13959
1640005802523,232,181,51,8.632596685082873,7409
1640005802524,243,193,50,8.095854922279793,19979
1640005802525,287,240,47,6.510416666666667,7680
1640005802525,269,219,50,7.134703196347032,8598
1640005802526,219,167,52,9.3562874251497,10871
1640005802526,206,155,51,10.080645161290322,12370
1640005802527,274,225,49,6.944444444444445,13456
1640005802528,300,245,55,6.377551020408164,12609
1640005802528,233,180,53,8.680555555555555,11752
1640005802529,378,326,52,4.792944785276074,9914
1640005802529,279,224,55,6.975446428571429,20510
1640005802530,287,236,51,6.6207627118644075,5380
1640005802530,278,222,56,7.038288288288288,5319
1640005802531,313,260,53,6.009615384615384,16451
1640005802531,292,243,49,6.4300411522633745,15194
1640005802532,513,463,50,3.374730021598272,12795
1640005802532,280,230,50,6.7934782608695645,10098
1640005802533,390,340,50,4.595588235294118,12783
1640005802533,241,191,50,8.180628272251308,15918
1640005802534,320,267,53,5.8520599250936325,16072
1640005802534,306,256,50,6.103515625,4454
1640005802535,266,214,52,7.3014018691588785,8173
1640005802535,319,267,52,5.8520599250936325,13747
1640005802536,234,185,49,8.445945945945946,9862
1640005802536,257,207,50,7.548309178743962,19057
1640005802537,239,190,49,8.223684210526315,14736
1640005802537,662,612,50,2.553104575163399,12929
1640005802538,280,232,48,6.7349137931034475,10861
1640005802538,436,384,52,4.069010416666667,13204
1640005802539,278,224,54,6.975446428571429,6932
1640005802539,272,223,49,7.006726457399103,11467
1640005802540,357,309,48,5.05663430420712,13407
1640005802540,274,223,51,7.006726457399103,12517
1640005802541,224,176,48,8.87784090909091,14071
1640005802541,254,203,51,7.697044334975369,12955
1640005802542,266,218,48,7.16743119266055,15020
1640005802542,252,201,51,7.773631840796019,18618
1640005802543,285,237,48,6.5928270042194095,15601
1640005802543,297,244,53,6.403688524590164,9201
1640005802544,316,266,50,5.874060150375939,11196
1640005802545,269,216,53,7.233796296296297,9994
1640005802545,325,272,53,5.744485294117647,9624
1640005802546,290,239,51,6.537656903765691,9678
1640005802546,272,220,52,7.1022727272727275,10150
1640005802547,282,231,51,6.7640692640692635,12815
1640005802547,262,208,54,7.512019230769231,12207
1640005802548,292,238,54,6.565126050420169,17207
1640005802548,287,238,49,6.565126050420169,7802
1640005802549,307,256,51,6.103515625,14109
1640005802549,236,186,50,8.400537634408602,11603
1640005802550,275,227,48,6.883259911894273,18400
1640005802550,316,266,50,5.874060150375939,11934
1640005802551,268,214,54,7.3014018691588785,10470
1640005802551,266,214,52,7.3014018691588785,17737
1640005802552,300,246,54,6.3516260162601625,12951
1640005802552,264,215,49,7.267441860465117,12269
1640005802553,294,242,52,6.456611570247934,12134
1640005802553,264,215,49,7.267441860465117,12372
1640005802554,293,241,52,6.483402489626556,12997
1640005802554,269,216,53,7.233796296296297,13076
1640005802555,302,252,50,6.200396825396825,8158
1640005802555,234,183,51,8.53825136612022,12388
1640005802556,248,194,54,8.054123711340205,16160
1640005802556,251,202,49,7.735148514851485,12556
1640005802557,259,202,57,7.735148514851485,15939
1640005802557,277,228,49,6.853070175438596,14897
1640005802558,265,214,51,7.3014018691588785,10856
1640005802558,258,212,46,7.370283018867925,11925
1640005802559,273,224,49,6.975446428571429,11371
1640005802559,259,207,52,7.548309178743962,9649
1640005802560,264,213,51,7.335680751173709,12616
1640005802560,249,200,49,7.8125,12680
1640005802561,297,246,51,6.3516260162601625,15022
1640005802561,294,243,51,6.4300411522633745,8951
1640005802562,468,415,53,3.7650602409638556,10860
1640005802563,247,196,51,7.971938775510203,15732
1640005802563,257,207,50,7.548309178743962,14350
1640005802564,282,228,54,6.853070175438596,13418
1640005802564,240,186,54,8.400537634408602,12172
1640005802565,402,349,53,4.477077363896848,15858
1640005802565,240,187,53,8.355614973262032,8740
1640005802566,262,211,51,7.4052132701421804,14830
1640005802566,277,229,48,6.823144104803493,12421
1640005802567,238,188,50,8.311170212765957,15469
1640005802567,220,170,50,9.191176470588236,12208
1640005802568,279,226,53,6.913716814159292,11076
1640005802568,290,237,53,6.5928270042194095,16091
1640005802569,275,223,52,7.006726457399103,14836
1640005802569,252,203,49,7.697044334975369,12066
1640005802570,274,225,49,6.944444444444445,12121
