time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640006017728,655,617,38,12.662074554294977,9155
1640006017732,861,817,44,9.562423500611995,17514
1640006017734,649,609,40,12.82840722495895,17503
1640006017735,655,610,45,12.807377049180328,19009
1640006017736,769,725,44,10.775862068965518,20510
1640006017737,731,686,45,11.388483965014576,9983
1640006017738,809,768,41,10.172526041666666,12735
1640006017740,648,604,44,12.934602649006623,16035
1640006017741,642,600,42,13.020833333333334,12671
1640006017742,635,593,42,13.174536256323778,17199
1640006017744,694,652,42,11.982361963190183,15789
1640006017745,706,660,46,11.837121212121211,13068
1640006017746,712,668,44,11.695359281437126,11199
1640006017747,733,690,43,11.322463768115943,13969
1640006017748,762,716,46,10.911312849162012,11893
1640006017749,595,552,43,14.153079710144926,15027
1640006017750,618,576,42,13.563368055555557,16488
1640006017751,811,770,41,10.146103896103895,20510
1640006017752,860,815,45,9.585889570552148,8428
1640006017753,584,542,42,14.41420664206642,9288
1640006017754,641,597,44,13.086264656616416,20510
1640006017755,679,636,43,12.28380503144654,11102
1640006017756,686,642,44,12.169003115264797,9124
1640006017757,623,581,42,13.446643717728056,7991
1640006017758,782,741,41,10.543184885290149,20510
1640006017759,851,806,45,9.692928039702233,5211
1640006017759,747,706,41,11.06586402266289,10363
1640006017760,666,622,44,12.560289389067524,20510
1640006017761,735,688,47,11.355377906976745,10416
1640006017762,767,726,41,10.761019283746556,15147
1640006017763,755,710,45,11.003521126760564,8427
1640006017764,851,809,42,9.656983930778738,12097
1640006017764,698,653,45,11.964012251148544,12862
1640006017765,733,690,43,11.322463768115943,20510
1640006017766,657,617,40,12.662074554294977,15353
1640006017767,775,732,43,10.672814207650273,8647
1640006017768,823,777,46,10.054697554697555,7896
1640006017769,1151,1107,44,7.05736224028907,4154
1640006017769,811,767,44,10.185788787483702,12798
1640006017770,732,688,44,11.355377906976745,20245
1640006017771,939,894,45,8.738814317673379,5461
1640006017772,801,758,43,10.306728232189974,1071
1640006017772,800,761,39,10.266097240473062,8225
1640006017773,813,772,41,10.119818652849741,17558
1640006017773,806,765,41,10.212418300653594,20510
1640006017774,864,822,42,9.504257907542579,3389
1640006017775,929,887,42,8.807779030439685,7828
1640006017775,902,861,41,9.073751451800232,9241
1640006017776,782,743,39,10.514804845222073,10264
1640006017777,895,854,41,9.148126463700235,20510
1640006017777,947,906,41,8.623068432671081,14047
1640006017778,889,847,42,9.223730814639906,14103
1640006017779,756,711,45,10.98804500703235,9353
1640006017779,825,781,44,10.003201024327785,7671
1640006017780,906,864,42,9.04224537037037,10363
1640006017780,967,928,39,8.41864224137931,18335
1640006017781,948,905,43,8.632596685082873,7250
1640006017781,931,888,43,8.79786036036036,9572
1640006017782,859,816,43,9.574142156862745,5909
1640006017783,824,781,43,10.003201024327785,16932
1640006017783,827,784,43,9.964923469387754,12026
1640006017784,846,805,41,9.70496894409938,14195
1640006017784,892,848,44,9.212853773584905,8732
1640006017785,888,846,42,9.234633569739954,12278
1640006017785,869,824,45,9.48118932038835,11605
1640006017786,991,949,42,8.232349841938884,9545
1640006017786,826,785,41,9.952229299363056,15735
1640006017787,902,861,41,9.073751451800232,19894
1640006017788,845,804,41,9.717039800995025,10040
1640006017788,1015,971,44,8.045829042224511,9252
1640006017789,818,775,43,10.080645161290322,13872
1640006017789,677,634,43,12.322555205047319,13268
1640006017790,532,490,42,15.943877551020408,20510
1640006017791,596,555,41,14.076576576576576,20510
1640006017791,622,582,40,13.423539518900345,17098
1640006017792,717,672,45,11.625744047619047,19335
1640006017792,686,645,41,12.112403100775193,20510
1640006017793,648,602,46,12.977574750830565,19708
1640006017793,628,585,43,13.354700854700855,15904
1640006017794,636,592,44,13.19679054054054,20510
1640006017794,641,598,43,13.064381270903011,16340
1640006017795,630,586,44,13.331911262798636,18294
1640006017796,633,590,43,13.241525423728815,18911
1640006017796,724,679,45,11.505891016200295,20510
1640006017797,719,678,41,11.522861356932152,13544
1640006017797,665,620,45,12.600806451612904,15424
1640006017798,629,585,44,13.354700854700855,20252
1640006017798,601,561,40,13.926024955436718,17580
1640006017799,624,579,45,13.493091537132988,18611
1640006017799,615,572,43,13.658216783216785,20510
1640006017800,647,605,42,12.913223140495868,20510
1640006017800,677,632,45,12.361550632911392,17131
1640006017801,656,613,43,12.744698205546493,20510
1640006017801,749,706,43,11.06586402266289,16300
1640006017802,690,644,46,12.131211180124224,6710
1640006017802,640,600,40,13.020833333333334,17017
1640006017803,604,564,40,13.851950354609931,19814
1640006017803,611,569,42,13.730228471001759,18416
1640006017804,650,604,46,12.934602649006623,20197
