time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640006395551,551,510,41,1.531862745098039,3751
1640006395554,332,292,40,2.6755136986301373,9616
1640006395555,407,365,42,2.1404109589041096,697
1640006395555,281,238,43,3.2825630252100844,1160
1640006395556,361,315,46,2.4801587301587302,1009
1640006395557,280,239,41,3.2688284518828454,1602
1640006395557,288,248,40,3.150201612903226,7221
1640006395558,265,224,41,3.4877232142857144,6230
1640006395558,207,165,42,4.734848484848484,7406
1640006395559,219,173,46,4.515895953757226,3544
1640006395560,257,214,43,3.6507009345794392,8123
1640006395560,231,191,40,4.090314136125654,7695
1640006395561,192,152,40,5.139802631578948,9862
1640006395561,220,178,42,4.389044943820225,5463
1640006395562,202,161,41,4.85248447204969,9055
1640006395563,227,185,42,4.222972972972973,11296
1640006395564,212,169,43,4.622781065088757,9563
1640006395564,196,153,43,5.106209150326798,8227
1640006395565,239,203,36,3.8485221674876846,3426
1640006395566,252,209,43,3.738038277511962,5740
1640006395566,220,170,50,4.595588235294118,3303
1640006395567,246,205,41,3.8109756097560976,5354
1640006395567,211,169,42,4.622781065088757,8230
1640006395568,220,175,45,4.464285714285714,7601
1640006395569,190,150,40,5.208333333333334,10061
1640006395569,211,169,42,4.622781065088757,4578
1640006395570,222,180,42,4.340277777777778,5962
1640006395571,190,152,38,5.139802631578948,14098
1640006395571,216,175,41,4.464285714285714,4992
1640006395572,204,162,42,4.822530864197531,8951
1640006395572,203,159,44,4.913522012578616,11245
1640006395573,204,159,45,4.913522012578616,2228
1640006395573,183,142,41,5.501760563380282,10913
1640006395574,197,154,43,5.0730519480519485,4614
1640006395574,189,149,40,5.243288590604027,4591
1640006395575,196,156,40,5.00801282051282,5091
1640006395577,226,185,41,4.222972972972973,6835
1640006395578,221,178,43,4.389044943820225,6728
1640006395578,236,194,42,4.0270618556701026,4251
1640006395579,226,180,46,4.340277777777778,2558
1640006395579,230,187,43,4.177807486631016,3833
1640006395580,210,169,41,4.622781065088757,9006
1640006395580,236,191,45,4.090314136125654,2935
1640006395580,196,156,40,5.00801282051282,3883
1640006395581,197,155,42,5.040322580645161,3096
1640006395581,196,156,40,5.00801282051282,4724
1640006395582,383,342,41,2.2843567251461985,6665
1640006395582,182,142,40,5.501760563380282,15286
1640006395583,219,178,41,4.389044943820225,5671
1640006395583,205,161,44,4.85248447204969,5127
1640006395584,688,647,41,1.2074961360123648,6016
1640006395584,177,138,39,5.661231884057971,14016
1640006395585,189,146,43,5.351027397260275,12411
1640006395585,198,154,44,5.0730519480519485,2229
1640006395586,217,174,43,4.489942528735632,11455
1640006395586,207,167,40,4.67814371257485,7187
1640006395586,231,186,45,4.200268817204301,4175
1640006395587,188,146,42,5.351027397260275,9251
1640006395587,195,152,43,5.139802631578948,3202
1640006395588,219,180,39,4.340277777777778,4808
1640006395588,182,139,43,5.620503597122302,14694
1640006395589,214,168,46,4.650297619047619,2516
1640006395589,210,169,41,4.622781065088757,4109
1640006395590,200,155,45,5.040322580645161,6865
1640006395591,220,176,44,4.438920454545455,2674
1640006395591,198,157,41,4.976114649681529,10170
1640006395592,238,190,48,4.1118421052631575,3703
1640006395592,196,158,38,4.944620253164557,10843
1640006395593,217,174,43,4.489942528735632,6400
1640006395593,282,241,41,3.241701244813278,6452
1640006395594,208,166,42,4.706325301204819,5179
1640006395594,184,144,40,5.425347222222222,5356
1640006395595,214,170,44,4.595588235294118,10587
1640006395596,194,154,40,5.0730519480519485,9286
1640006395596,207,166,41,4.706325301204819,6115
1640006395597,203,162,41,4.822530864197531,12261
1640006395597,194,151,43,5.173841059602649,8335
1640006395598,245,203,42,3.8485221674876846,9047
1640006395598,192,151,41,5.173841059602649,10599
1640006395599,206,167,39,4.67814371257485,5228
1640006395599,202,160,42,4.8828125,6289
1640006395599,180,139,41,5.620503597122302,4888
1640006395600,210,161,49,4.85248447204969,7649
1640006395600,205,164,41,4.763719512195122,12370
1640006395601,212,170,42,4.595588235294118,8193
1640006395601,180,141,39,5.540780141843972,9243
1640006395602,184,139,45,5.620503597122302,6980
1640006395602,187,146,41,5.351027397260275,8260
1640006395603,224,184,40,4.2459239130434785,17956
1640006395603,220,179,41,4.364525139664805,2200
1640006395604,193,150,43,5.208333333333334,6292
1640006395604,232,191,41,4.090314136125654,6801
1640006395605,205,161,44,4.85248447204969,8405
1640006395605,247,204,43,3.8296568627450984,5630
1640006395606,219,178,41,4.389044943820225,11179
1640006395606,220,175,45,4.464285714285714,7386
1640006395606,211,170,41,4.595588235294118,8882
1640006395607,215,169,46,4.622781065088757,8514
1640006395607,236,192,44,4.069010416666667,9362
