time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640005733212,213,171,42,4.568713450292397,10351
1640005733216,204,162,42,4.822530864197531,7742
1640005733219,180,136,44,5.744485294117647,3379
1640005733220,183,139,44,5.620503597122302,10538
1640005733222,195,148,47,5.278716216216217,18891
1640005733223,206,162,44,4.822530864197531,12685
1640005733225,195,150,45,5.208333333333334,2742
1640005733228,199,157,42,4.976114649681529,4037
1640005733230,185,145,40,5.387931034482759,18627
1640005733232,187,141,46,5.540780141843972,8645
1640005733233,200,153,47,5.106209150326798,12942
1640005733234,197,151,46,5.173841059602649,6006
1640005733235,199,156,43,5.00801282051282,11589
1640005733236,210,162,48,4.822530864197531,7426
1640005733237,182,138,44,5.661231884057971,15022
1640005733238,245,200,45,3.90625,7862
1640005733239,209,164,45,4.763719512195122,11878
1640005733239,334,287,47,2.72212543554007,7520
1640005733240,247,199,48,3.9258793969849246,4121
1640005733241,371,328,43,2.381859756097561,8434
1640005733242,214,168,46,4.650297619047619,7526
1640005733243,207,166,41,4.706325301204819,10447
1640005733243,216,172,44,4.542151162790698,8361
1640005733244,191,146,45,5.351027397260275,4550
1640005733245,210,167,43,4.67814371257485,11393
1640005733246,218,171,47,4.568713450292397,8426
1640005733246,194,147,47,5.3146258503401365,6260
1640005733247,208,160,48,4.8828125,1267
1640005733248,214,173,41,4.515895953757226,10907
1640005733249,231,189,42,4.133597883597884,9114
1640005733250,239,198,41,3.9457070707070705,8173
1640005733251,197,151,46,5.173841059602649,7752
1640005733251,228,183,45,4.26912568306011,10990
1640005733252,239,191,48,4.090314136125654,7626
1640005733252,210,167,43,4.67814371257485,10564
1640005733254,211,165,46,4.734848484848484,8138
1640005733255,184,143,41,5.463286713286713,6745
1640005733255,207,161,46,4.85248447204969,10320
1640005733256,211,167,44,4.67814371257485,8091
1640005733257,226,182,44,4.292582417582418,5938
1640005733257,212,167,45,4.67814371257485,4679
1640005733258,209,168,41,4.650297619047619,2464
1640005733259,210,165,45,4.734848484848484,4409
1640005733259,185,145,40,5.387931034482759,10788
1640005733260,204,162,42,4.822530864197531,12672
1640005733260,204,157,47,4.976114649681529,4628
1640005733261,324,277,47,2.820397111913357,8741
1640005733262,226,177,49,4.413841807909605,3776
1640005733262,189,147,42,5.3146258503401365,7619
1640005733263,218,171,47,4.568713450292397,5838
1640005733264,210,169,41,4.622781065088757,7654
1640005733264,244,201,43,3.8868159203980097,9740
1640005733265,193,148,45,5.278716216216217,8942
1640005733265,205,161,44,4.85248447204969,5493
1640005733266,304,261,43,2.993295019157088,6131
1640005733267,233,187,46,4.177807486631016,2302
1640005733267,218,173,45,4.515895953757226,3002
1640005733268,252,205,47,3.8109756097560976,6681
1640005733268,682,633,49,1.2342022116903633,5432
1640005733269,249,204,45,3.8296568627450984,8251
1640005733270,212,171,41,4.568713450292397,5990
1640005733270,279,232,47,3.3674568965517238,9550
1640005733271,308,264,44,2.9592803030303028,3407
1640005733271,255,208,47,3.7560096153846154,8053
1640005733272,212,165,47,4.734848484848484,7374
1640005733272,241,199,42,3.9258793969849246,7471
1640005733273,206,160,46,4.8828125,2610
1640005733273,203,159,44,4.913522012578616,8529
1640005733274,195,153,42,5.106209150326798,6409
1640005733274,221,177,44,4.413841807909605,4766
1640005733275,213,170,43,4.595588235294118,6191
1640005733275,271,227,44,3.4416299559471364,6758
1640005733276,221,172,49,4.542151162790698,4477
1640005733276,259,214,45,3.6507009345794392,10897
1640005733277,237,193,44,4.0479274611398965,7753
1640005733277,205,161,44,4.85248447204969,7581
1640005733278,293,248,45,3.150201612903226,4425
1640005733278,299,255,44,3.063725490196078,4800
1640005733279,209,167,42,4.67814371257485,2523
1640005733279,245,199,46,3.9258793969849246,5061
1640005733280,201,158,43,4.944620253164557,7573
1640005733280,232,189,43,4.133597883597884,10990
1640005733281,192,153,39,5.106209150326798,9347
1640005733281,191,149,42,5.243288590604027,6149
1640005733282,187,143,44,5.463286713286713,7342
1640005733282,223,178,45,4.389044943820225,10919
1640005733283,215,168,47,4.650297619047619,8980
1640005733283,224,179,45,4.364525139664805,10076
1640005733284,222,176,46,4.438920454545455,8536
1640005733284,205,161,44,4.85248447204969,7536
1640005733284,260,216,44,3.6168981481481484,9649
1640005733285,197,152,45,5.139802631578948,7900
1640005733285,220,172,48,4.542151162790698,5883
1640005733286,256,211,45,3.7026066350710902,9261
1640005733286,192,150,42,5.208333333333334,2168
1640005733287,223,175,48,4.464285714285714,11307
1640005733287,244,198,46,3.9457070707070705,5834
1640005733288,235,188,47,4.155585106382978,8102
1640005733288,225,174,51,4.489942528735632,6891
