time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640006289438,161,115,46,3.3967391304347823,10097
1640006289441,355,306,49,1.2765522875816995,12601
1640006289442,199,150,49,2.604166666666667,621
1640006289443,175,127,48,3.0757874015748032,2059
1640006289444,207,158,49,2.4723101265822787,10354
1640006289444,183,136,47,2.8722426470588234,4813
1640006289445,208,157,51,2.4880573248407645,7103
1640006289446,174,123,51,3.1758130081300813,6601
1640006289447,182,132,50,2.9592803030303028,11021
1640006289447,164,115,49,3.3967391304347823,2991
1640006289448,268,216,52,1.8084490740740742,8838
1640006289449,184,133,51,2.9370300751879697,4681
1640006289449,168,121,47,3.228305785123967,8115
1640006289450,157,109,48,3.583715596330275,12637
1640006289451,176,128,48,3.0517578125,7777
1640006289452,153,104,49,3.7560096153846154,9626
1640006289453,197,148,49,2.6393581081081083,9535
1640006289453,175,127,48,3.0757874015748032,3999
1640006289454,180,126,54,3.1001984126984126,9930
1640006289455,149,105,44,3.7202380952380953,8454
1640006289455,157,105,52,3.7202380952380953,7905
1640006289456,159,114,45,3.426535087719298,8776
1640006289456,148,98,50,3.9859693877551017,9999
1640006289457,173,122,51,3.201844262295082,13116
1640006289457,153,104,49,3.7560096153846154,12387
1640006289458,145,99,46,3.9457070707070705,12700
1640006289458,168,115,53,3.3967391304347823,13319
1640006289459,206,156,50,2.50400641025641,12180
1640006289459,164,114,50,3.426535087719298,7474
1640006289460,173,125,48,3.125,7679
1640006289460,178,132,46,2.9592803030303028,9395
1640006289461,201,151,50,2.5869205298013247,8605
1640006289461,186,138,48,2.8306159420289854,5179
1640006289462,183,131,52,2.9818702290076335,8328
1640006289462,173,124,49,3.150201612903226,6088
1640006289463,182,133,49,2.9370300751879697,12668
1640006289463,171,123,48,3.1758130081300813,7105
1640006289464,156,105,51,3.7202380952380953,8875
1640006289464,221,172,49,2.271075581395349,12980
1640006289465,189,139,50,2.810251798561151,4291
1640006289465,167,118,49,3.3103813559322037,8200
1640006289466,193,141,52,2.770390070921986,5484
1640006289466,188,139,49,2.810251798561151,4393
1640006289467,186,136,50,2.8722426470588234,6630
1640006289467,191,141,50,2.770390070921986,5306
1640006289468,166,115,51,3.3967391304347823,6069
1640006289468,194,146,48,2.6755136986301373,8979
1640006289469,169,118,51,3.3103813559322037,6354
1640006289469,157,106,51,3.6851415094339623,7581
1640006289470,206,153,53,2.553104575163399,7641
1640006289471,169,117,52,3.3386752136752134,4558
1640006289471,175,123,52,3.1758130081300813,8009
1640006289472,177,125,52,3.125,7444
1640006289472,169,121,48,3.228305785123967,9785
1640006289473,190,142,48,2.750880281690141,8698
1640006289473,174,125,49,3.125,5015
1640006289474,161,113,48,3.456858407079646,7321
1640006289474,143,97,46,4.0270618556701026,12473
1640006289475,162,116,46,3.3674568965517238,13875
1640006289475,160,108,52,3.6168981481481484,8499
1640006289476,163,115,48,3.3967391304347823,15540
1640006289476,173,121,52,3.228305785123967,12339
1640006289476,173,121,52,3.228305785123967,11680
1640006289477,205,155,50,2.5201612903225805,9928
1640006289478,161,114,47,3.426535087719298,6155
1640006289478,152,106,46,3.6851415094339623,9423
1640006289479,170,117,53,3.3386752136752134,7955
1640006289479,172,125,47,3.125,10009
1640006289480,200,151,49,2.5869205298013247,12181
1640006289480,158,109,49,3.583715596330275,7884
1640006289481,174,123,51,3.1758130081300813,10132
1640006289481,171,125,46,3.125,10210
1640006289482,165,114,51,3.426535087719298,9271
1640006289482,156,108,48,3.6168981481481484,8496
1640006289483,153,106,47,3.6851415094339623,8646
1640006289484,144,96,48,4.069010416666667,12068
1640006289485,168,119,49,3.2825630252100844,13026
1640006289485,149,99,50,3.9457070707070705,11529
1640006289486,159,108,51,3.6168981481481484,13887
1640006289486,187,137,50,2.8512773722627736,10920
1640006289487,151,102,49,3.8296568627450984,8790
1640006289488,187,138,49,2.8306159420289854,12683
1640006289488,183,137,46,2.8512773722627736,6216
1640006289489,150,105,45,3.7202380952380953,8205
1640006289489,204,154,50,2.5365259740259742,12317
1640006289490,167,115,52,3.3967391304347823,5988
1640006289491,176,125,51,3.125,9581
1640006289491,160,109,51,3.583715596330275,7866
1640006289492,180,130,50,3.004807692307692,10606
1640006289492,189,140,49,2.790178571428571,7303
1640006289493,181,134,47,2.9151119402985075,5347
1640006289494,191,139,52,2.810251798561151,9994
1640006289496,174,127,47,3.0757874015748032,4945
1640006289498,187,137,50,2.8512773722627736,6443
1640006289498,179,133,46,2.9370300751879697,5816
1640006289499,174,125,49,3.125,6648
1640006289500,176,125,51,3.125,8281
1640006289500,174,123,51,3.1758130081300813,7748
1640006289501,201,153,48,2.553104575163399,7707
