time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640005344283,127,80,47,0.9765625,1650
1640005344289,132,89,43,0.877808988764045,1650
1640005344291,134,90,44,0.8680555555555556,1650
1640005344292,130,83,47,0.9412650602409638,1650
1640005344294,138,92,46,0.8491847826086957,1650
1640005344295,139,95,44,0.8223684210526315,1650
1640005344297,141,87,54,0.8979885057471265,1650
1640005344298,156,113,43,0.6913716814159292,1650
1640005344300,144,98,46,0.7971938775510203,1650
1640005344301,158,115,43,0.6793478260869565,1650
1640005344303,230,183,47,0.42691256830601093,1650
1640005344305,132,87,45,0.8979885057471265,1650
1640005344307,127,84,43,0.9300595238095237,1650
1640005344308,140,95,45,0.8223684210526315,1650
1640005344309,142,96,46,0.8138020833333334,1650
1640005344311,155,107,48,0.7301401869158879,1650
1640005344312,130,89,41,0.877808988764045,1650
1640005344313,134,91,43,0.8585164835164836,1650
1640005344314,132,88,44,0.8877840909090909,1650
1640005344315,128,84,44,0.9300595238095237,1650
1640005344316,131,86,45,0.9084302325581396,1650
1640005344317,130,84,46,0.9300595238095237,1650
1640005344318,130,87,43,0.8979885057471265,1650
1640005344319,136,91,45,0.8585164835164836,1650
1640005344321,144,99,45,0.7891414141414141,1650
1640005344322,147,100,47,0.78125,1650
1640005344323,136,93,43,0.8400537634408602,1650
1640005344324,146,99,47,0.7891414141414141,1650
1640005344325,133,90,43,0.8680555555555556,1650
1640005344326,135,90,45,0.8680555555555556,1650
1640005344327,136,91,45,0.8585164835164836,1650
1640005344328,134,91,43,0.8585164835164836,1650
1640005344329,133,89,44,0.877808988764045,1650
1640005344331,141,99,42,0.7891414141414141,1650
1640005344331,134,87,47,0.8979885057471265,1650
1640005344332,127,83,44,0.9412650602409638,1650
1640005344333,132,88,44,0.8877840909090909,1650
1640005344334,126,79,47,0.9889240506329113,1650
1640005344334,127,84,43,0.9300595238095237,1650
1640005344335,134,91,43,0.8585164835164836,1650
1640005344336,132,88,44,0.8877840909090909,1650
1640005344337,141,93,48,0.8400537634408602,1650
1640005344337,127,83,44,0.9412650602409638,1650
1640005344338,143,99,44,0.7891414141414141,1650
1640005344339,130,87,43,0.8979885057471265,1650
1640005344340,128,81,47,0.9645061728395061,1650
1640005344340,132,90,42,0.8680555555555556,1650
1640005344341,136,88,48,0.8877840909090909,1650
1640005344342,124,82,42,0.9527439024390244,1650
1640005344343,125,76,49,1.0279605263157896,1650
1640005344344,209,163,46,0.47929447852760737,1650
1640005344344,134,87,47,0.8979885057471265,1650
1640005344345,139,96,43,0.8138020833333334,1650
1640005344346,146,100,46,0.78125,1650
1640005344346,134,93,41,0.8400537634408602,1650
1640005344347,130,85,45,0.9191176470588235,1650
1640005344348,122,81,41,0.9645061728395061,1650
1640005344349,131,89,42,0.877808988764045,1650
1640005344349,134,87,47,0.8979885057471265,1650
1640005344350,162,121,41,0.6456611570247934,1650
1640005344351,139,91,48,0.8585164835164836,1650
1640005344351,139,98,41,0.7971938775510203,1650
1640005344352,170,125,45,0.625,1650
1640005344353,129,82,47,0.9527439024390244,1650
1640005344353,129,87,42,0.8979885057471265,1650
1640005344354,132,84,48,0.9300595238095237,1650
1640005344354,129,86,43,0.9084302325581396,1650
1640005344355,140,95,45,0.8223684210526315,1650
1640005344356,135,93,42,0.8400537634408602,1650
1640005344356,169,127,42,0.6151574803149606,1650
1640005344357,134,88,46,0.8877840909090909,1650
1640005344357,137,90,47,0.8680555555555556,1650
1640005344358,135,88,47,0.8877840909090909,1650
1640005344358,133,87,46,0.8979885057471265,1650
1640005344359,142,95,47,0.8223684210526315,1650
1640005344360,147,94,53,0.8311170212765957,1650
1640005344360,127,87,40,0.8979885057471265,1650
1640005344361,132,91,41,0.8585164835164836,1650
1640005344361,161,118,43,0.6620762711864407,1650
1640005344362,142,94,48,0.8311170212765957,1650
1640005344363,131,87,44,0.8979885057471265,1650
1640005344363,142,99,43,0.7891414141414141,1650
1640005344364,160,117,43,0.6677350427350427,1650
1640005344364,126,83,43,0.9412650602409638,1650
1640005344365,125,82,43,0.9527439024390244,1650
1640005344366,127,85,42,0.9191176470588235,1650
1640005344366,170,127,43,0.6151574803149606,1650
1640005344367,160,107,53,0.7301401869158879,1650
1640005344367,130,88,42,0.8877840909090909,1650
1640005344368,135,92,43,0.8491847826086957,1650
1640005344368,124,81,43,0.9645061728395061,1650
1640005344369,139,92,47,0.8491847826086957,1650
1640005344369,169,127,42,0.6151574803149606,1650
1640005344370,148,103,45,0.758495145631068,1650
1640005344371,133,84,49,0.9300595238095237,1650
1640005344371,148,104,44,0.7512019230769231,1650
1640005344372,133,90,43,0.8680555555555556,1650
1640005344372,129,85,44,0.9191176470588235,1650
1640005344373,131,83,48,0.9412650602409638,1650
