time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002629467,594,849,-255,4.601001177856301,16103
1640002629470,401,659,-258,5.927541729893778,20510
1640002629471,390,646,-256,6.046826625386997,3992
1640002629472,536,792,-256,4.932133838383838,12506
1640002629473,389,648,-259,6.028163580246914,18417
1640002629474,317,574,-257,6.805313588850175,20510
1640002629475,541,797,-256,4.901191969887076,20510
1640002629475,395,648,-253,6.028163580246914,14936
1640002629476,385,641,-256,6.09399375975039,11695
1640002629477,328,586,-258,6.665955631399318,20510
1640002629478,369,624,-255,6.2600160256410255,20510
1640002629479,343,599,-256,6.521285475792989,19257
1640002629479,326,580,-254,6.734913793103448,19595
1640002629480,273,534,-261,7.315074906367041,20510
1640002629481,253,509,-256,7.674361493123772,20510
1640002629482,280,539,-259,7.247217068645639,20510
1640002629482,284,539,-255,7.247217068645639,20510
1640002629483,302,563,-261,6.9382770870337485,14195
1640002629484,343,599,-256,6.521285475792989,20510
1640002629484,342,596,-254,6.554110738255034,19596
1640002629485,274,529,-255,7.384215500945179,20510
1640002629486,280,538,-258,7.260687732342007,20510
1640002629486,282,536,-254,7.2877798507462686,20510
1640002629487,260,520,-260,7.512019230769231,20510
1640002629488,267,525,-258,7.44047619047619,20510
1640002629489,288,545,-257,7.16743119266055,20510
1640002629489,336,590,-254,6.6207627118644075,20510
1640002629490,270,528,-258,7.398200757575757,20510
1640002629491,258,514,-256,7.599708171206226,20510
1640002629491,276,531,-255,7.356403013182674,20510
1640002629492,288,546,-258,7.154304029304029,16598
1640002629492,369,624,-255,6.2600160256410255,20510
1640002629493,344,599,-255,6.521285475792989,13654
1640002629493,276,533,-257,7.328799249530957,20510
1640002629494,297,556,-259,7.025629496402877,20510
1640002629494,282,542,-260,7.20710332103321,20510
1640002629495,268,526,-258,7.426330798479087,20510
1640002629496,303,560,-257,6.975446428571428,20510
1640002629496,250,507,-257,7.704635108481262,20510
1640002629497,270,528,-258,7.398200757575757,20510
1640002629497,249,507,-258,7.704635108481262,20510
1640002629498,304,560,-256,6.975446428571428,20510
1640002629498,259,514,-255,7.599708171206226,18221
1640002629499,251,509,-258,7.674361493123772,20510
1640002629499,276,531,-255,7.356403013182674,20510
1640002629500,351,608,-257,6.424753289473684,20510
1640002629500,314,573,-259,6.817190226876091,20510
1640002629501,358,618,-260,6.3207928802588995,20510
1640002629501,464,724,-260,5.395372928176796,11512
1640002629502,361,618,-257,6.3207928802588995,17881
1640002629502,378,636,-258,6.14190251572327,20510
1640002629503,362,617,-255,6.331037277147488,19717
1640002629503,371,626,-255,6.240015974440895,20030
1640002629504,361,616,-255,6.341314935064935,18926
1640002629505,322,581,-259,6.723321858864028,17761
1640002629505,284,540,-256,7.233796296296296,20510
1640002629506,273,530,-257,7.370283018867924,20510
1640002629506,339,592,-253,6.59839527027027,20510
1640002629507,313,568,-255,6.877200704225353,20510
1640002629507,305,559,-254,6.987924865831842,20510
1640002629508,298,555,-257,7.038288288288288,19295
1640002629508,327,583,-256,6.700257289879932,20510
1640002629509,290,548,-258,7.128193430656934,20510
1640002629509,289,548,-259,7.128193430656934,20510
1640002629510,305,559,-254,6.987924865831842,20510
1640002629510,312,571,-259,6.84106830122592,20510
1640002629511,325,582,-257,6.711769759450172,20510
1640002629511,357,614,-257,6.361970684039088,18049
1640002629512,343,602,-259,6.488787375415282,18352
1640002629512,343,598,-255,6.532190635451506,20510
1640002629513,368,622,-254,6.280144694533762,20510
1640002629513,370,626,-256,6.240015974440895,19913
1640002629514,347,602,-255,6.488787375415282,15210
1640002629514,354,610,-256,6.403688524590164,20510
1640002629515,293,547,-254,7.141224862888482,20510
1640002629515,325,582,-257,6.711769759450172,20510
1640002629516,323,582,-259,6.711769759450172,20510
1640002629516,339,598,-259,6.532190635451506,17320
1640002629517,286,543,-257,7.193830570902394,20510
1640002629518,299,556,-257,7.025629496402877,20510
1640002629518,301,558,-257,7.000448028673834,20510
1640002629519,380,634,-254,6.1612776025236595,20510
1640002629519,353,610,-257,6.403688524590164,19638
1640002629520,325,579,-254,6.746545768566494,20510
1640002629520,286,548,-262,7.128193430656934,20510
1640002629521,335,591,-256,6.609560067681896,20510
1640002629521,419,675,-256,5.787037037037036,19495
1640002629522,328,583,-255,6.700257289879932,15946
1640002629522,377,638,-261,6.122648902821316,20510
1640002629523,302,558,-256,7.000448028673834,20510
1640002629523,336,590,-254,6.6207627118644075,20510
1640002629524,396,651,-255,6.000384024577572,20510
1640002629524,346,602,-256,6.488787375415282,17372
1640002629525,642,898,-256,4.349944320712694,20510
1640002629525,324,578,-254,6.758217993079585,18301
1640002629526,335,593,-258,6.587268128161889,20510
1640002629526,374,628,-254,6.220143312101911,17297
1640002629527,315,572,-257,6.829108391608393,20510
1640002629527,324,577,-253,6.76993067590988,20510
