time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002561059,223,479,-256,3.2620041753653446,14725
1640002561061,223,483,-260,3.2349896480331264,14736
1640002561062,186,443,-257,3.5270880361173815,15356
1640002561062,150,408,-258,3.8296568627450984,17401
1640002561063,185,446,-261,3.5033632286995515,20510
1640002561063,214,472,-258,3.3103813559322037,19788
1640002561064,199,458,-259,3.4115720524017465,15026
1640002561064,145,399,-254,3.916040100250626,20510
1640002561065,155,413,-258,3.7832929782082325,20510
1640002561065,170,427,-257,3.659250585480094,20510
1640002561066,240,497,-257,3.143863179074447,17956
1640002561066,213,473,-260,3.3033826638477803,16696
1640002561067,199,457,-258,3.4190371991247264,11802
1640002561067,179,438,-259,3.567351598173516,14799
1640002561068,172,428,-256,3.6507009345794392,19180
1640002561068,178,437,-259,3.5755148741418763,20510
1640002561069,183,440,-257,3.5511363636363638,18423
1640002561069,156,411,-255,3.8017031630170317,14852
1640002561070,149,402,-253,3.8868159203980097,18740
1640002561070,169,416,-247,3.7560096153846154,20510
1640002561071,169,429,-260,3.6421911421911424,17056
1640002561071,176,435,-259,3.5919540229885056,20510
1640002561072,177,436,-259,3.583715596330275,17521
1640002561072,150,409,-259,3.8202933985330074,18460
1640002561073,234,496,-262,3.150201612903226,20510
1640002561073,169,425,-256,3.6764705882352944,18164
1640002561074,202,460,-258,3.3967391304347823,11476
1640002561074,188,446,-258,3.5033632286995515,18214
1640002561075,164,420,-256,3.7202380952380953,14566
1640002561075,171,426,-255,3.6678403755868545,19545
1640002561076,147,405,-258,3.8580246913580245,20510
1640002561076,169,424,-255,3.6851415094339623,15493
1640002561077,162,421,-259,3.7114014251781473,18460
1640002561077,173,428,-255,3.6507009345794392,20510
1640002561078,205,463,-258,3.374730021598272,20047
1640002561078,195,453,-258,3.4492273730684326,17501
1640002561079,196,450,-254,3.4722222222222223,16681
1640002561079,156,409,-253,3.8202933985330074,8084
1640002561080,132,394,-262,3.965736040609137,20510
1640002561080,150,410,-260,3.8109756097560976,20510
1640002561081,159,416,-257,3.7560096153846154,20510
1640002561081,154,413,-259,3.7832929782082325,20510
1640002561082,183,439,-256,3.559225512528474,20490
1640002561082,201,455,-254,3.434065934065934,17684
1640002561083,160,415,-255,3.7650602409638556,19067
1640002561083,152,409,-257,3.8202933985330074,20475
1640002561084,168,424,-256,3.6851415094339623,20510
1640002561084,175,430,-255,3.6337209302325584,18127
1640002561085,153,409,-256,3.8202933985330074,19487
1640002561085,162,421,-259,3.7114014251781473,20186
1640002561086,172,428,-256,3.6507009345794392,10111
1640002561086,182,437,-255,3.5755148741418763,20416
1640002561087,181,437,-256,3.5755148741418763,16359
1640002561087,167,426,-259,3.6678403755868545,14900
1640002561088,167,426,-259,3.6678403755868545,16252
1640002561088,174,429,-255,3.6421911421911424,18387
1640002561089,160,418,-258,3.738038277511962,20481
1640002561090,164,420,-256,3.7202380952380953,17168
1640002561090,156,413,-257,3.7832929782082325,19839
1640002561091,141,401,-260,3.8965087281795507,20510
1640002561091,135,393,-258,3.9758269720101778,19917
1640002561092,132,389,-257,4.0167095115681235,20510
1640002561092,225,483,-258,3.2349896480331264,20510
1640002561093,165,425,-260,3.6764705882352944,15667
1640002561093,185,445,-260,3.5112359550561796,12794
1640002561094,205,464,-259,3.3674568965517238,20362
1640002561094,205,463,-258,3.374730021598272,18238
1640002561095,207,461,-254,3.3893709327548804,20510
1640002561095,174,432,-258,3.6168981481481484,20510
1640002561096,293,548,-255,2.8512773722627736,20510
1640002561096,167,424,-257,3.6851415094339623,20510
1640002561097,148,409,-261,3.8202933985330074,18677
1640002561097,168,426,-258,3.6678403755868545,20510
1640002561098,141,399,-258,3.916040100250626,20510
1640002561098,133,389,-256,4.0167095115681235,20510
1640002561099,143,401,-258,3.8965087281795507,20510
1640002561099,229,485,-256,3.2216494845360826,6471
1640002561100,164,419,-255,3.729116945107399,14744
1640002561100,157,413,-256,3.7832929782082325,18757
1640002561101,172,428,-256,3.6507009345794392,20510
1640002561101,239,495,-256,3.1565656565656566,19759
1640002561102,199,454,-255,3.4416299559471364,7493
1640002561102,194,450,-256,3.4722222222222223,19160
1640002561103,153,413,-260,3.7832929782082325,12086
1640002561103,148,407,-259,3.8390663390663393,20510
1640002561104,206,465,-259,3.3602150537634405,20510
1640002561104,247,503,-256,3.106361829025845,17259
1640002561105,200,457,-257,3.4190371991247264,13237
1640002561105,149,405,-256,3.8580246913580245,19224
1640002561106,189,441,-252,3.5430839002267573,20510
1640002561106,158,416,-258,3.7560096153846154,12055
1640002561107,144,402,-258,3.8868159203980097,20510
1640002561107,151,409,-258,3.8202933985330074,20510
1640002561108,206,466,-260,3.3530042918454934,20510
1640002561108,133,392,-259,3.9859693877551017,17379
1640002561109,225,486,-261,3.2150205761316872,20510
1640002561109,203,458,-255,3.4115720524017465,15978
1640002561110,172,428,-256,3.6507009345794392,16022
1640002561110,173,432,-259,3.6168981481481484,20386
