time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640003249019,88,342,-254,1.1421783625730992,7868
1640003249021,76,330,-254,1.183712121212121,11889
1640003249022,91,340,-249,1.1488970588235294,12566
1640003249023,76,331,-255,1.1801359516616314,16810
1640003249023,68,321,-253,1.2169003115264798,12280
1640003249024,67,319,-252,1.2245297805642632,16134
1640003249025,229,477,-248,0.8189203354297694,16887
1640003249025,77,326,-249,1.1982361963190185,801
1640003249026,67,314,-247,1.2440286624203822,15763
1640003249026,67,322,-255,1.2131211180124224,18253
1640003249027,61,316,-255,1.2361550632911393,20451
1640003249027,115,363,-248,1.0761019283746556,18141
1640003249028,77,330,-253,1.183712121212121,12873
1640003249029,71,324,-253,1.2056327160493827,17736
1640003249029,79,329,-250,1.1873100303951367,16505
1640003249030,78,330,-252,1.183712121212121,15851
1640003249031,79,331,-252,1.1801359516616314,14335
1640003249031,67,320,-253,1.220703125,14662
1640003249032,74,328,-254,1.1909298780487805,19322
1640003249033,115,364,-249,1.0731456043956045,16405
1640003249033,75,328,-253,1.1909298780487805,14236
1640003249034,71,326,-255,1.1982361963190185,14479
1640003249035,85,337,-252,1.1591246290801187,12939
1640003249035,70,323,-253,1.2093653250773992,13310
1640003249036,74,323,-249,1.2093653250773992,13628
1640003249036,73,321,-248,1.2169003115264798,14939
1640003249037,77,327,-250,1.194571865443425,14192
1640003249038,188,436,-248,0.8959288990825688,15918
1640003249038,74,325,-251,1.2019230769230769,4945
1640003249039,69,321,-252,1.2169003115264798,15369
1640003249039,72,322,-250,1.2131211180124224,15959
1640003249040,166,417,-251,0.9367505995203838,12243
1640003249041,100,353,-253,1.106586402266289,7935
1640003249041,66,321,-255,1.2169003115264798,16356
1640003249042,75,325,-250,1.2019230769230769,15791
1640003249042,80,329,-249,1.1873100303951367,14534
1640003249043,71,321,-250,1.2169003115264798,15871
1640003249043,76,327,-251,1.194571865443425,16432
1640003249044,66,319,-253,1.2245297805642632,15454
1640003249045,72,325,-253,1.2019230769230769,14869
1640003249045,71,322,-251,1.2131211180124224,11438
1640003249046,79,333,-254,1.173048048048048,16269
1640003249046,97,348,-251,1.122485632183908,14318
1640003249047,68,322,-254,1.2131211180124224,16143
1640003249048,74,323,-249,1.2093653250773992,13421
1640003249048,65,315,-250,1.2400793650793651,15251
1640003249049,68,322,-254,1.2131211180124224,16113
1640003249050,121,368,-247,1.0614809782608696,17507
1640003249050,70,325,-255,1.2019230769230769,10562
1640003249051,66,317,-251,1.2322555205047319,14984
1640003249052,67,315,-248,1.2400793650793651,18951
1640003249052,69,320,-251,1.220703125,18365
1640003249053,113,363,-250,1.0761019283746556,17411
1640003249053,105,359,-254,1.0880919220055711,8257
1640003249054,96,344,-248,1.1355377906976745,11963
1640003249054,90,342,-252,1.1421783625730992,12865
1640003249056,77,328,-251,1.1909298780487805,11844
1640003249056,67,317,-250,1.2322555205047319,14879
1640003249057,96,345,-249,1.1322463768115942,16509
1640003249058,184,431,-247,0.906322505800464,10214
1640003249059,112,360,-248,1.0850694444444444,9612
1640003249059,212,463,-251,0.843682505399568,10676
1640003249060,227,476,-249,0.8206407563025211,3978
1640003249061,86,335,-249,1.1660447761194028,1522
1640003249061,88,336,-248,1.1625744047619047,13050
1640003249062,74,323,-249,1.2093653250773992,14735
1640003249063,76,328,-252,1.1909298780487805,17077
1640003249063,82,329,-247,1.1873100303951367,17013
1640003249065,68,319,-251,1.2245297805642632,12479
1640003249065,177,425,-248,0.9191176470588236,15571
1640003249066,94,344,-250,1.1355377906976745,7044
1640003249067,69,318,-249,1.228380503144654,15745
1640003249067,103,353,-250,1.106586402266289,14775
1640003249068,76,330,-254,1.183712121212121,8138
1640003249068,111,363,-252,1.0761019283746556,9396
1640003249069,65,317,-252,1.2322555205047319,14088
1640003249070,70,322,-252,1.2131211180124224,15077
1640003249070,95,343,-248,1.1388483965014575,17569
1640003249071,83,335,-252,1.1660447761194028,15105
1640003249071,75,328,-253,1.1909298780487805,15450
1640003249072,81,335,-254,1.1660447761194028,13489
1640003249072,76,326,-250,1.1982361963190185,10917
1640003249073,79,331,-252,1.1801359516616314,15553
1640003249074,120,367,-247,1.0643732970027249,14755
1640003249074,88,337,-249,1.1591246290801187,11869
1640003249075,81,334,-253,1.1695359281437125,14168
1640003249075,73,323,-250,1.2093653250773992,11051
1640003249076,70,319,-249,1.2245297805642632,13460
1640003249076,68,318,-250,1.228380503144654,14884
1640003249077,69,319,-250,1.2245297805642632,18210
1640003249077,73,327,-254,1.194571865443425,18318
1640003249078,70,324,-254,1.2056327160493827,16153
1640003249079,68,321,-253,1.2169003115264798,15801
1640003249079,70,322,-252,1.2131211180124224,15700
1640003249080,69,320,-251,1.220703125,11552
1640003249080,66,320,-254,1.220703125,15613
1640003249081,92,341,-249,1.1455278592375366,17280
1640003249081,104,358,-254,1.0911312849162011,9144
1640003249082,83,333,-250,1.173048048048048,13419
