time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002326748,60,13,47,6.009615384615385,3280
1640002326750,54,3,51,26.041666666666668,4550
1640002326751,48,0,48,Infinity,5836
1640002326751,50,0,50,Infinity,6155
1640002326752,46,0,46,Infinity,8462
1640002326753,53,4,49,19.53125,9652
1640002326753,55,6,49,13.020833333333334,5144
1640002326754,49,-1,50,-78.125,4514
1640002326755,41,-6,47,-13.020833333333334,10270
1640002326755,41,-9,50,-8.680555555555555,10270
1640002326756,52,5,47,15.625,10270
1640002326757,51,6,45,13.020833333333334,10270
1640002326757,50,3,47,26.041666666666668,10270
1640002326758,54,5,49,15.625,3503
1640002326758,48,-1,49,-78.125,3503
1640002326759,36,-9,45,-8.680555555555555,10270
1640002326759,41,-8,49,-9.765625,10270
1640002326760,59,8,51,9.765625,10270
1640002326761,98,50,48,1.5625,8626
1640002326761,40,-5,45,-15.625,10270
1640002326762,63,16,47,4.8828125,8183
1640002326762,43,-1,44,-78.125,8383
1640002326762,41,-7,48,-11.160714285714285,9226
1640002326763,48,-1,49,-78.125,10270
1640002326764,45,-5,50,-15.625,10270
1640002326764,45,-5,50,-15.625,10270
1640002326764,47,0,47,Infinity,10037
1640002326765,44,-5,49,-15.625,10270
1640002326765,45,-3,48,-26.041666666666668,10270
1640002326766,52,6,46,13.020833333333334,8527
1640002326766,56,7,49,11.160714285714285,1540
1640002326767,53,6,47,13.020833333333334,1540
1640002326768,48,1,47,78.125,1540
1640002326768,46,-3,49,-26.041666666666668,7396
1640002326770,43,-1,44,-78.125,10270
1640002326770,50,0,50,Infinity,8426
1640002326771,47,-4,51,-19.53125,10270
1640002326771,41,-8,49,-9.765625,7738
1640002326772,43,-6,49,-13.020833333333334,10270
1640002326772,40,-7,47,-11.160714285714285,10270
1640002326773,55,9,46,8.680555555555555,10270
1640002326773,54,3,51,26.041666666666668,6527
1640002326773,55,5,50,15.625,10046
1640002326774,51,6,45,13.020833333333334,10270
1640002326774,44,-5,49,-15.625,10270
1640002326775,41,-8,49,-9.765625,10270
1640002326775,39,-9,48,-8.680555555555555,10270
1640002326776,57,8,49,9.765625,10270
1640002326776,44,-4,48,-19.53125,10270
1640002326777,47,1,46,78.125,9325
1640002326777,41,-7,48,-11.160714285714285,10080
1640002326778,51,-7,58,-11.160714285714285,9551
1640002326778,63,16,47,4.8828125,10270
1640002326779,45,-5,50,-15.625,10270
1640002326779,45,-4,49,-19.53125,10270
1640002326779,50,4,46,19.53125,10270
1640002326780,42,-6,48,-13.020833333333334,10270
1640002326780,42,-4,46,-19.53125,10270
1640002326781,56,7,49,11.160714285714285,1850
1640002326781,40,-6,46,-13.020833333333334,9888
1640002326782,44,-6,50,-13.020833333333334,10270
1640002326782,56,9,47,8.680555555555555,10270
1640002326783,38,-8,46,-9.765625,10270
1640002326783,54,4,50,19.53125,2144
1640002326783,46,-5,51,-15.625,7265
1640002326784,52,3,49,26.041666666666668,10270
1640002326784,37,-6,43,-13.020833333333334,10270
1640002326785,43,-8,51,-9.765625,10270
1640002326785,55,6,49,13.020833333333334,3562
1640002326786,54,5,49,15.625,4056
1640002326786,41,-3,44,-26.041666666666668,10270
1640002326786,54,6,48,13.020833333333334,10270
1640002326787,58,10,48,7.8125,9050
1640002326787,43,-6,49,-13.020833333333334,10270
1640002326788,44,-3,47,-26.041666666666668,10270
1640002326788,63,14,49,5.580357142857142,8953
1640002326789,50,1,49,78.125,8727
1640002326789,52,2,50,39.0625,7678
1640002326790,56,10,46,7.8125,2417
1640002326790,49,2,47,39.0625,1787
1640002326791,41,-3,44,-26.041666666666668,9543
1640002326791,39,-5,44,-15.625,9870
1640002326792,46,-4,50,-19.53125,6900
1640002326792,48,2,46,39.0625,9679
1640002326792,46,-6,52,-13.020833333333334,10270
1640002326793,39,-9,48,-8.680555555555555,10270
1640002326793,49,2,47,39.0625,10270
1640002326794,73,21,52,3.720238095238095,10257
1640002326794,45,-4,49,-19.53125,8342
1640002326795,43,-6,49,-13.020833333333334,10270
1640002326795,42,-9,51,-8.680555555555555,10270
1640002326796,39,-4,43,-19.53125,10270
1640002326796,46,0,46,Infinity,10270
1640002326797,58,12,46,6.510416666666667,10270
1640002326797,56,9,47,8.680555555555555,6532
1640002326798,72,22,50,3.5511363636363638,7841
1640002326798,72,24,48,3.2552083333333335,3475
1640002326799,152,104,48,0.7512019230769231,7249
1640002326799,74,27,47,2.8935185185185186,5300
