time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002504294,147,402,-255,1.9434079601990049,9992
1640002504296,160,419,-259,1.8645584725536994,13622
1640002504296,124,386,-262,2.0239637305699483,14272
1640002504297,129,385,-256,2.029220779220779,19286
1640002504297,121,377,-256,2.0722811671087533,15258
1640002504298,97,357,-260,2.1883753501400562,9836
1640002504298,117,378,-261,2.066798941798942,17978
1640002504299,116,376,-260,2.077792553191489,16343
1640002504299,106,366,-260,2.134562841530055,14037
1640002504300,157,416,-259,1.8780048076923077,11130
1640002504300,123,380,-257,2.0559210526315788,10086
1640002504301,125,379,-254,2.061345646437995,16427
1640002504301,153,410,-257,1.9054878048780488,14381
1640002504302,131,391,-260,1.998081841432225,13686
1640002504302,192,447,-255,1.7477628635346756,14306
1640002504303,146,408,-262,1.9148284313725492,8827
1640002504303,108,368,-260,2.1229619565217392,13004
1640002504304,120,375,-255,2.0833333333333335,15463
1640002504304,126,384,-258,2.0345052083333335,16432
1640002504305,133,392,-259,1.9929846938775508,17654
1640002504305,121,380,-259,2.0559210526315788,11460
1640002504306,125,381,-256,2.050524934383202,17433
1640002504306,108,368,-260,2.1229619565217392,16683
1640002504307,111,371,-260,2.1057951482479784,13870
1640002504307,117,379,-262,2.061345646437995,19207
1640002504308,136,396,-260,1.9728535353535352,10680
1640002504308,149,406,-257,1.9242610837438423,18916
1640002504309,107,369,-262,2.1172086720867207,15745
1640002504309,97,355,-258,2.200704225352113,12710
1640002504310,155,414,-259,1.8870772946859904,16846
1640002504310,125,382,-257,2.045157068062827,13187
1640002504311,128,387,-259,2.0187338501291987,16042
1640002504311,179,440,-261,1.7755681818181819,19260
1640002504312,138,393,-255,1.9879134860050889,16381
1640002504312,167,424,-257,1.8425707547169812,15350
1640002504313,137,392,-255,1.9929846938775508,9748
1640002504313,134,391,-257,1.998081841432225,6742
1640002504314,112,373,-261,2.094504021447721,15735
1640002504314,112,367,-255,2.1287465940054497,19132
1640002504315,132,393,-261,1.9879134860050889,20510
1640002504315,122,383,-261,2.039817232375979,20058
1640002504316,125,384,-259,2.0345052083333335,20129
1640002504316,101,362,-261,2.1581491712707184,17995
1640002504317,100,357,-257,2.1883753501400562,19412
1640002504317,123,385,-262,2.029220779220779,20510
1640002504318,122,381,-259,2.050524934383202,15305
1640002504318,135,392,-257,1.9929846938775508,17947
1640002504319,172,433,-261,1.8042725173210161,16636
1640002504319,120,378,-258,2.066798941798942,18345
1640002504320,107,364,-257,2.146291208791209,14309
1640002504320,122,380,-258,2.0559210526315788,17289
1640002504321,173,434,-261,1.8001152073732718,17267
1640002504321,132,388,-256,2.0135309278350513,11732
1640002504322,166,421,-255,1.8557007125890737,15484
1640002504322,178,432,-254,1.8084490740740742,13734
1640002504323,185,445,-260,1.7556179775280898,6562
1640002504323,393,653,-260,1.1964012251148546,14283
1640002504324,150,410,-260,1.9054878048780488,5636
1640002504324,161,422,-261,1.8513033175355451,8312
1640002504325,213,470,-257,1.6622340425531916,16167
1640002504325,153,411,-258,1.9008515815085159,9219
1640002504326,205,462,-257,1.6910173160173159,15035
1640002504327,145,407,-262,1.9195331695331697,5707
1640002504327,133,392,-259,1.9929846938775508,15795
1640002504328,237,496,-259,1.575100806451613,17685
1640002504328,201,458,-257,1.7057860262008733,17003
1640002504329,307,563,-256,1.3876554174067497,12551
1640002504329,262,520,-258,1.502403846153846,15664
1640002504330,173,434,-261,1.8001152073732718,15846
1640002504331,142,401,-259,1.9482543640897754,4160
1640002504331,118,375,-257,2.0833333333333335,18350
1640002504332,139,397,-258,1.9678841309823676,16557
1640002504332,224,483,-259,1.6174948240165632,17768
1640002504333,99,361,-262,2.164127423822715,19458
1640002504333,132,391,-259,1.998081841432225,18876
1640002504334,119,378,-259,2.066798941798942,18402
1640002504334,105,361,-256,2.164127423822715,16936
1640002504335,169,424,-255,1.8425707547169812,16968
1640002504336,143,400,-257,1.953125,10720
1640002504337,148,406,-258,1.9242610837438423,15823
1640002504338,116,375,-259,2.0833333333333335,12317
1640002504339,122,381,-259,2.050524934383202,10531
1640002504339,110,372,-262,2.1001344086021505,14896
1640002504340,154,414,-260,1.8870772946859904,17732
1640002504340,162,417,-255,1.8735011990407675,15624
1640002504341,121,379,-258,2.061345646437995,14595
1640002504341,113,370,-257,2.1114864864864864,16309
1640002504342,207,465,-258,1.6801075268817203,17477
1640002504342,112,371,-259,2.1057951482479784,3818
1640002504343,126,385,-259,2.029220779220779,17506
1640002504343,98,355,-257,2.200704225352113,15894
1640002504344,108,369,-261,2.1172086720867207,16537
1640002504344,133,391,-258,1.998081841432225,18058
1640002504345,100,362,-262,2.1581491712707184,19906
1640002504345,127,384,-257,2.0345052083333335,16776
1640002504346,137,398,-261,1.9629396984924623,16494
1640002504346,108,365,-257,2.1404109589041096,15317
1640002504347,128,386,-258,2.0239637305699483,15731
1640002504347,97,359,-262,2.1761838440111423,19330
