time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002750715,588,846,-258,9.234633569739954,16838
1640002750719,644,901,-257,8.670921198668147,20510
1640002750720,847,1100,-253,7.102272727272727,17981
1640002750721,617,875,-258,8.928571428571429,19876
1640002750722,701,957,-256,8.163531870428422,16035
1640002750723,666,918,-252,8.510348583877995,19651
1640002750724,713,968,-255,8.070764462809917,20510
1640002750725,686,942,-256,8.293524416135881,18406
1640002750726,812,1068,-256,7.315074906367041,19313
1640002750727,665,919,-254,8.501088139281828,19450
1640002750728,680,936,-256,8.346688034188034,19335
1640002750729,700,953,-253,8.197796432318993,17615
1640002750730,723,980,-257,7.971938775510204,20510
1640002750731,733,987,-254,7.915400202634245,15167
1640002750732,761,1014,-253,7.704635108481262,20510
1640002750733,602,857,-255,9.11610268378063,17121
1640002750734,601,857,-256,9.11610268378063,20510
1640002750735,523,780,-257,10.01602564102564,20510
1640002750736,526,785,-259,9.952229299363056,20510
1640002750737,649,903,-254,8.651716500553709,20510
1640002750738,723,981,-258,7.9638124362895,18921
1640002750739,682,934,-252,8.364561027837258,15951
1640002750740,795,1049,-254,7.447569113441373,20510
1640002750741,686,944,-258,8.275953389830509,15412
1640002750742,668,924,-256,8.45508658008658,20510
1640002750743,677,932,-255,8.382510729613733,18034
1640002750744,603,857,-254,9.11610268378063,20510
1640002750745,618,875,-257,8.928571428571429,20510
1640002750746,682,936,-254,8.346688034188034,20510
1640002750747,755,1008,-253,7.750496031746032,16114
1640002750748,700,953,-253,8.197796432318993,19016
1640002750749,619,875,-256,8.928571428571429,18592
1640002750750,662,920,-258,8.491847826086957,20510
1640002750751,603,860,-257,9.084302325581396,19793
1640002750752,697,949,-252,8.232349841938884,19444
1640002750753,630,883,-253,8.847678369195924,18929
1640002750753,598,851,-253,9.180376028202115,19576
1640002750755,585,843,-258,9.26749703440095,20378
1640002750756,613,871,-258,8.969575200918484,20510
1640002750756,663,918,-255,8.510348583877995,19331
1640002750757,655,909,-254,8.594609460946094,20510
1640002750758,538,793,-255,9.851828499369482,16160
1640002750759,700,955,-255,8.18062827225131,20510
1640002750760,589,846,-257,9.234633569739954,19782
1640002750761,647,902,-255,8.66130820399113,20510
1640002750762,546,802,-256,9.741271820448878,20510
1640002750763,575,829,-254,9.42400482509047,14668
1640002750764,583,840,-257,9.300595238095239,20510
1640002750765,600,853,-253,9.158851113716295,20510
1640002750766,544,802,-258,9.741271820448878,20510
1640002750767,584,837,-253,9.333930704898448,16727
1640002750768,630,887,-257,8.807779030439685,20510
1640002750770,643,901,-258,8.670921198668147,20510
1640002750771,642,897,-255,8.70958751393534,20510
1640002750772,690,946,-256,8.258456659619451,17876
1640002750773,808,1060,-252,7.370283018867924,20357
1640002750774,694,949,-255,8.232349841938884,17896
1640002750775,570,823,-253,9.492709599027947,17021
1640002750776,611,867,-256,9.010957324106114,20329
1640002750777,606,864,-258,9.04224537037037,20510
1640002750778,592,848,-256,9.212853773584905,20510
1640002750779,742,998,-256,7.828156312625251,20510
1640002750780,905,1158,-253,6.746545768566494,17673
1640002750781,656,909,-253,8.594609460946094,14346
1640002750782,604,858,-254,9.105477855477856,17310
1640002750783,783,1041,-258,7.50480307396734,18871
1640002750784,658,912,-254,8.566337719298245,19490
1640002750785,684,938,-254,8.328891257995735,19160
1640002750786,731,988,-257,7.907388663967612,20128
1640002750787,608,862,-254,9.06322505800464,15133
1640002750788,657,910,-253,8.585164835164836,20510
1640002750790,622,878,-256,8.898063781321184,20510
1640002750791,514,767,-253,10.185788787483702,20510
1640002750793,670,924,-254,8.45508658008658,20510
1640002750794,686,941,-255,8.302337938363443,18328
1640002750795,742,995,-253,7.851758793969849,19103
1640002750796,598,854,-256,9.148126463700235,20510
1640002750798,657,912,-255,8.566337719298245,20510
1640002750799,713,968,-255,8.070764462809917,20382
1640002750800,737,990,-253,7.891414141414142,19862
1640002750801,564,819,-255,9.539072039072039,20510
1640002750802,723,977,-254,7.996417604912999,20510
1640002750803,806,1058,-252,7.384215500945179,18394
1640002750804,497,753,-256,10.375166002656043,20510
1640002750805,533,790,-257,9.889240506329113,20510
1640002750806,616,869,-253,8.990218642117377,20510
1640002750807,752,1008,-256,7.750496031746032,15443
1640002750808,717,971,-254,8.045829042224511,18289
1640002750809,768,1023,-255,7.636852394916912,13265
1640002750810,639,895,-256,8.72905027932961,20464
1640002750811,743,996,-253,7.843875502008032,19880
1640002750812,740,994,-254,7.859657947686117,20510
1640002750813,808,1062,-254,7.356403013182674,11309
1640002750814,1012,1269,-257,6.156422379826636,17253
1640002750815,748,1000,-252,7.8125,15640
1640002750816,747,1001,-254,7.804695304695305,20510
1640002750817,778,1035,-257,7.548309178743962,13176
1640002750818,707,960,-253,8.138020833333334,20510
1640002750819,672,924,-252,8.45508658008658,20510
