time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640002452043,80,339,-259,1.1522861356932153,9449
1640002452045,71,331,-260,1.1801359516616314,12600
1640002452046,67,326,-259,1.1982361963190185,14280
1640002452046,78,337,-259,1.1591246290801187,16007
1640002452047,82,341,-259,1.1455278592375366,14272
1640002452047,90,350,-260,1.1160714285714286,16252
1640002452048,78,337,-259,1.1591246290801187,11029
1640002452048,74,333,-259,1.173048048048048,12267
1640002452049,72,335,-263,1.1660447761194028,14570
1640002452049,72,335,-263,1.1660447761194028,17788
1640002452050,106,368,-262,1.0614809782608696,15557
1640002452051,84,343,-259,1.1388483965014575,8970
1640002452052,77,335,-258,1.1660447761194028,10792
1640002452054,68,325,-257,1.2019230769230769,12428
1640002452055,97,354,-257,1.1034604519774012,17600
1640002452056,88,349,-261,1.119269340974212,13717
1640002452056,87,349,-262,1.119269340974212,13979
1640002452057,73,335,-262,1.1660447761194028,12815
1640002452057,76,336,-260,1.1625744047619047,12694
1640002452058,74,336,-262,1.1625744047619047,12877
1640002452058,80,342,-262,1.1421783625730992,14583
1640002452059,71,329,-258,1.1873100303951367,14574
1640002452059,70,330,-260,1.183712121212121,15348
1640002452059,80,338,-258,1.1556952662721893,15664
1640002452060,72,330,-258,1.183712121212121,15390
1640002452060,74,333,-259,1.173048048048048,16394
1640002452061,72,335,-263,1.1660447761194028,15054
1640002452061,58,318,-260,1.228380503144654,15005
1640002452062,87,345,-258,1.1322463768115942,17938
1640002452062,75,337,-262,1.1591246290801187,17124
1640002452063,63,326,-263,1.1982361963190185,14072
1640002452063,66,325,-259,1.2019230769230769,15732
1640002452063,72,330,-258,1.183712121212121,15260
1640002452064,95,353,-258,1.106586402266289,11298
1640002452064,74,334,-260,1.1695359281437125,12611
1640002452065,79,336,-257,1.1625744047619047,14909
1640002452065,129,386,-257,1.0119818652849741,12465
1640002452065,100,356,-256,1.0972612359550562,6588
1640002452066,87,345,-258,1.1322463768115942,5311
1640002452066,61,320,-259,1.220703125,16429
1640002452067,67,322,-255,1.2131211180124224,18203
1640002452067,72,329,-257,1.1873100303951367,17635
1640002452068,73,333,-260,1.173048048048048,16340
1640002452068,63,321,-258,1.2169003115264798,16030
1640002452068,67,325,-258,1.2019230769230769,16661
1640002452069,73,329,-256,1.1873100303951367,18126
1640002452069,70,331,-261,1.1801359516616314,18330
1640002452070,68,324,-256,1.2056327160493827,18197
1640002452070,74,335,-261,1.1660447761194028,17610
1640002452071,69,329,-260,1.1873100303951367,12530
1640002452071,102,358,-256,1.0911312849162011,16945
1640002452071,82,341,-259,1.1455278592375366,9460
1640002452072,71,332,-261,1.1765813253012047,12298
1640002452072,69,331,-262,1.1801359516616314,9334
1640002452073,64,322,-258,1.2131211180124224,15101
1640002452073,60,321,-261,1.2169003115264798,18251
1640002452074,81,340,-259,1.1488970588235294,16981
1640002452074,82,342,-260,1.1421783625730992,16855
1640002452075,83,340,-257,1.1488970588235294,14987
1640002452075,94,353,-259,1.106586402266289,16172
1640002452076,82,339,-257,1.1522861356932153,15311
1640002452076,71,328,-257,1.1909298780487805,14210
1640002452076,79,341,-262,1.1455278592375366,15372
1640002452077,157,418,-261,0.9345095693779905,16290
1640002452077,73,334,-261,1.1695359281437125,8109
1640002452078,98,355,-257,1.1003521126760565,14221
1640002452078,82,341,-259,1.1455278592375366,12673
1640002452079,87,347,-260,1.125720461095101,10990
1640002452079,73,335,-262,1.1660447761194028,11527
1640002452080,86,341,-255,1.1455278592375366,15137
1640002452080,102,359,-257,1.0880919220055711,15689
1640002452081,112,372,-260,1.0500672043010753,12463
1640002452081,111,369,-258,1.0586043360433603,13792
1640002452082,90,354,-264,1.1034604519774012,14881
1640002452082,71,329,-258,1.1873100303951367,15904
1640002452083,90,348,-258,1.122485632183908,15262
1640002452083,79,340,-261,1.1488970588235294,16838
1640002452083,110,367,-257,1.0643732970027249,14103
1640002452084,157,417,-260,0.9367505995203838,13355
1640002452084,98,357,-259,1.0941876750700281,6032
1640002452085,75,335,-260,1.1660447761194028,7977
1640002452085,62,322,-260,1.2131211180124224,10183
1640002452086,65,325,-260,1.2019230769230769,15578
1640002452086,73,335,-262,1.1660447761194028,16745
1640002452087,97,354,-257,1.1034604519774012,16303
1640002452087,111,369,-258,1.0586043360433603,13024
1640002452088,415,671,-256,0.5821535022354695,14286
1640002452088,86,343,-257,1.1388483965014575,10571
1640002452088,90,348,-258,1.122485632183908,9624
1640002452089,85,345,-260,1.1322463768115942,10989
1640002452089,88,337,-249,1.1591246290801187,12043
1640002452090,78,340,-262,1.1488970588235294,13079
1640002452090,93,352,-259,1.1097301136363638,11496
1640002452091,77,337,-260,1.1591246290801187,12738
1640002452091,99,357,-258,1.0941876750700281,17087
1640002452092,429,686,-257,0.5694241982507288,16021
1640002452092,106,364,-258,1.0731456043956045,10984
1640002452093,214,473,-259,0.8258456659619451,12093
1640002452093,462,724,-262,0.5395372928176796,10222
