time,overallLatency,uplinkLatency,downlinkLatency,goodput
1640003751128,184,433,-249,3.6085450346420322,20510
1640003751130,308,552,-244,2.8306159420289854,17140
1640003751131,183,430,-247,3.6337209302325584,10940
1640003751131,248,492,-244,3.1758130081300813,18343
1640003751132,154,402,-248,3.8868159203980097,13865
1640003751132,202,453,-251,3.4492273730684326,19873
1640003751133,202,453,-251,3.4492273730684326,6387
1640003751133,146,393,-247,3.9758269720101778,19409
1640003751134,251,499,-248,3.1312625250501003,20510
1640003751134,177,421,-244,3.7114014251781473,14350
1640003751135,241,489,-248,3.1952965235173827,20151
1640003751135,176,420,-244,3.7202380952380953,12123
1640003751136,193,441,-248,3.5430839002267573,16901
1640003751136,176,424,-248,3.6851415094339623,13631
1640003751137,190,434,-244,3.6002304147465436,19687
1640003751137,180,429,-249,3.6421911421911424,16613
1640003751138,223,467,-244,3.3458244111349034,9834
1640003751138,220,466,-246,3.3530042918454934,10687
1640003751139,215,460,-245,3.3967391304347823,8562
1640003751140,235,480,-245,3.2552083333333335,16055
1640003751140,197,443,-246,3.5270880361173815,12724
1640003751141,185,434,-249,3.6002304147465436,16943
1640003751141,209,457,-248,3.4190371991247264,16694
1640003751142,244,492,-248,3.1758130081300813,15303
1640003751142,214,457,-243,3.4190371991247264,10453
1640003751143,158,406,-248,3.8485221674876846,15262
1640003751143,183,428,-245,3.6507009345794392,20510
1640003751144,157,404,-247,3.8675742574257423,16020
1640003751144,153,399,-246,3.916040100250626,20484
1640003751145,196,442,-246,3.5350678733031673,20495
1640003751145,175,418,-243,3.738038277511962,16545
1640003751146,198,440,-242,3.5511363636363638,17003
1640003751146,211,459,-248,3.4041394335511983,15368
1640003751147,214,463,-249,3.374730021598272,15421
1640003751147,170,417,-247,3.747002398081535,15336
1640003751148,163,405,-242,3.8580246913580245,20320
1640003751148,234,480,-246,3.2552083333333335,19547
1640003751149,175,423,-248,3.693853427895981,15366
1640003751149,205,448,-243,3.4877232142857144,17755
1640003751150,169,414,-245,3.774154589371981,17271
1640003751150,228,473,-245,3.3033826638477803,20347
1640003751151,214,463,-249,3.374730021598272,9095
1640003751151,244,493,-249,3.169371196754564,15071
1640003751152,210,457,-247,3.4190371991247264,14574
1640003751152,179,425,-246,3.6764705882352944,11675
1640003751153,163,410,-247,3.8109756097560976,18252
1640003751154,205,451,-246,3.464523281596452,20510
1640003751154,178,424,-246,3.6851415094339623,17022
1640003751155,178,425,-247,3.6764705882352944,15915
1640003751155,157,404,-247,3.8675742574257423,20510
1640003751156,169,418,-249,3.738038277511962,20180
1640003751157,171,419,-248,3.729116945107399,17083
1640003751158,184,426,-242,3.6678403755868545,19905
1640003751159,193,440,-247,3.5511363636363638,16192
1640003751160,216,460,-244,3.3967391304347823,14335
1640003751161,226,471,-245,3.3174097664543525,12918
1640003751161,208,455,-247,3.434065934065934,12580
1640003751162,234,479,-245,3.2620041753653446,14929
1640003751162,223,469,-246,3.3315565031982945,14983
1640003751163,213,459,-246,3.4041394335511983,12506
1640003751163,229,473,-244,3.3033826638477803,12638
1640003751164,206,453,-247,3.4492273730684326,13282
1640003751164,239,481,-242,3.2484407484407485,15693
1640003751165,208,452,-244,3.456858407079646,13633
1640003751165,244,490,-246,3.188775510204082,10728
1640003751166,178,425,-247,3.6764705882352944,11077
1640003751166,159,408,-249,3.8296568627450984,20441
1640003751167,168,410,-242,3.8109756097560976,19596
1640003751167,170,415,-245,3.7650602409638556,13636
1640003751168,176,422,-246,3.7026066350710902,16702
1640003751169,172,419,-247,3.729116945107399,14533
1640003751169,198,440,-242,3.5511363636363638,17690
1640003751170,205,449,-244,3.479955456570156,15301
1640003751170,219,467,-248,3.3458244111349034,15187
1640003751171,225,470,-245,3.3244680851063833,6623
1640003751171,196,440,-244,3.5511363636363638,15846
1640003751172,225,471,-246,3.3174097664543525,18268
1640003751173,203,447,-244,3.495525727069351,12812
1640003751173,188,439,-251,3.559225512528474,12994
1640003751174,190,436,-246,3.583715596330275,17329
1640003751174,195,440,-245,3.5511363636363638,12587
1640003751175,188,435,-247,3.5919540229885056,15937
1640003751175,201,445,-244,3.5112359550561796,18354
1640003751176,231,482,-251,3.241701244813278,18372
1640003751176,201,445,-244,3.5112359550561796,15300
1640003751177,173,421,-248,3.7114014251781473,14804
1640003751178,195,443,-248,3.5270880361173815,20070
1640003751178,200,445,-245,3.5112359550561796,14716
1640003751179,201,448,-247,3.4877232142857144,14417
1640003751179,261,502,-241,3.112549800796813,14091
1640003751180,229,479,-250,3.2620041753653446,5861
1640003751180,216,463,-247,3.374730021598272,13553
1640003751181,184,429,-245,3.6421911421911424,14351
1640003751181,201,443,-242,3.5270880361173815,17756
1640003751182,252,495,-243,3.1565656565656566,15887
1640003751182,186,432,-246,3.6168981481481484,8430
1640003751183,194,441,-247,3.5430839002267573,18554
1640003751183,226,473,-247,3.3033826638477803,18538
1640003751184,251,497,-246,3.143863179074447,14678
